episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,r_stability,r_centering,r_scale,phase,target_offset,init_pos,init_vel,init_ang
51,5044,55.44,100,47.0,0.5759,0.2078,0.5219,0.4337,0.4217,0.329,A,0.107,0.203,0.102,0.05
52,5171,19.34,127,37.0,0.689,0.1759,0.5206,0.3566,0.2437,0.2606,A,0.107,0.203,0.102,0.05
53,5208,20.07,37,54.1,0.5753,0.1915,0.5264,0.3697,0.4951,0.4075,A,0.107,0.203,0.102,0.05
54,5325,130.25,117,67.5,0.5918,0.1613,0.4899,0.5728,0.5564,0.3943,A,0.107,0.204,0.102,0.05
55,5387,62.6,62,58.1,0.5021,0.2314,0.5149,0.5198,0.5789,0.4916,A,0.107,0.204,0.102,0.05
56,5491,111.98,104,56.7,0.5398,0.2215,0.4857,0.5845,0.5295,0.4916,A,0.107,0.204,0.102,0.05
57,5640,27.1,149,40.9,0.7099,0.1502,0.5071,0.3547,0.2492,0.2358,A,0.108,0.204,0.102,0.05
58,5707,81.74,67,59.7,0.4135,0.2268,0.4484,0.5434,0.7414,0.4874,A,0.108,0.204,0.102,0.05
59,5845,106.2,138,53.6,0.6413,0.1926,0.4991,0.4851,0.3842,0.4366,A,0.108,0.204,0.102,0.05
60,5952,180.56,107,80.4,0.412,0.168,0.5053,0.4822,0.9888,0.5061,A,0.108,0.204,0.102,0.05
61,6065,77.52,113,58.4,0.7401,0.1437,0.4913,0.4896,0.3931,0.3079,A,0.108,0.204,0.102,0.05
62,6143,55.8,78,50.0,0.5806,0.2019,0.5071,0.473,0.4753,0.3953,A,0.108,0.204,0.102,0.05
63,6252,186.18,109,81.7,0.5066,0.1725,0.513,0.6284,0.7879,0.5669,A,0.108,0.204,0.102,0.05
64,6305,26.38,53,43.4,0.5139,0.2095,0.5145,0.483,0.438,0.3315,A,0.108,0.204,0.102,0.05
65,6378,70.86,73,54.8,0.5008,0.2166,0.5253,0.5619,0.551,0.4467,A,0.109,0.204,0.102,0.05
66,6560,106.23,182,49.5,0.6062,0.1288,0.505,0.5085,0.3828,0.2529,A,0.109,0.204,0.102,0.05
67,6650,94.06,90,71.1,0.699,0.1457,0.4803,0.6021,0.3792,0.4638,A,0.109,0.204,0.102,0.05
68,6795,112.74,145,57.2,0.7114,0.1758,0.5035,0.5201,0.3432,0.4108,A,0.109,0.205,0.102,0.05
69,6888,156.93,93,74.2,0.4499,0.2012,0.4789,0.6615,0.8317,0.5598,A,0.109,0.205,0.102,0.05
