tier,episode,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,checkpoint
hard,11,1000,False,4.55,7.4,1.0406,0.01115,0.273,0.1065,0.9167,0.0005,0.0102,900000
hard,12,1000,False,3243.37,88.9,0.4194,0.17836,0.2182,0.2207,0.9804,1.706,0.658,900000
hard,13,345,True,423.48,81.2,0.7408,0.0928,0.3119,0.0686,0.8309,0.2462,0.3575,900000
hard,14,283,True,199.66,64.3,0.9213,0.05462,0.4659,0.1459,0.7738,0.1193,0.1847,900000
hard,15,402,True,29.66,22.4,0.925,0.03823,0.4095,0.1169,0.707,0.1016,0.0527,900000
easy,1,1000,False,4135.8,100.0,0.291,0.16918,0.143,0.1239,0.9935,2.401,0.7291,1500000
easy,2,1000,False,4352.99,100.0,0.2879,0.20036,0.1628,0.2401,0.9966,2.4432,0.9073,1500000
easy,3,1000,False,4219.9,100.0,0.3102,0.24205,0.1811,0.2029,0.9892,2.2725,0.9497,1500000
easy,4,1000,False,4412.01,100.0,0.2762,0.19994,0.0783,0.1078,0.9963,2.5583,0.8521,1500000
easy,5,975,True,1687.29,71.7,0.5984,0.11331,0.2122,0.1092,0.9679,0.6703,0.3782,1500000
medium,6,1000,False,1811.54,92.2,0.6267,0.03728,0.1076,0.038,0.9891,0.7005,0.1953,1500000
medium,7,489,True,278.93,49.3,0.9317,0.05625,0.2516,0.0769,0.9398,0.0133,0.1422,1500000
medium,8,1000,False,3273.13,100.0,0.4711,0.17933,0.1186,0.0764,0.9874,1.469,0.8093,1500000
medium,9,1000,False,2859.7,100.0,0.4721,0.09319,0.1095,0.0976,0.9948,1.4261,0.4305,1500000
medium,10,1000,False,994.32,70.1,0.896,0.07892,0.2063,0.0846,0.9769,0.0396,0.2726,1500000
hard,11,1000,False,864.08,65.7,0.8892,0.05076,0.2036,0.0507,0.9775,0.0545,0.1687,1500000
hard,12,1000,False,335.65,29.1,1.0895,0.03013,0.1375,0.0311,0.9864,0.0019,0.0547,1500000
hard,13,1000,False,767.76,62.4,0.9377,0.0328,0.1895,0.0438,0.9633,0.0494,0.1255,1500000
hard,14,1000,False,1365.09,82.9,0.7872,0.0434,0.195,0.035,0.9793,0.3553,0.1953,1500000
hard,15,1000,False,177.32,15.7,1.0002,0.05006,0.207,0.0511,0.9717,0.0057,0.0413,1500000
