steps,terminated_early,total_reward,track_pct,search_pct,visibility_pct,n_spiral_activations,mean_centering_dist,mean_fraction,mean_action_jerk,post_handoff_cent,n_transitions,episode,model,scenario
2736,True,-831.0205274476637,7.090643274853801,90.31432748538012,7.200292397660819,3,0.8135768250910335,0.12391772712628867,0.0149858478936869,0.8177439784163066,6,1,150k,slow_easy
3000,False,-767.8943239373411,8.166666666666666,88.13333333333334,8.266666666666667,4,0.6636053461166583,0.18801817602040816,0.01963471363554173,0.6491041908749683,7,2,150k,slow_easy
1094,True,-290.1123326049024,8.409506398537477,86.56307129798903,8.592321755027422,2,0.7008440140095588,0.16750169836956522,0.02496629426629033,0.7100074383868755,4,3,150k,slow_easy
1716,True,952.2134457188421,42.30769230769231,55.18648018648019,42.42424242424242,2,0.6939617226246994,0.17180101799242425,0.023396171662826145,0.701623423086821,4,4,150k,slow_easy
3000,False,-690.9014550054166,10.133333333333333,83.26666666666667,10.4,9,0.8532844193579486,0.11353824013157894,0.030497757388634725,0.8549631293180066,17,5,150k,slow_easy
1842,True,-496.2659155355796,8.251900108577633,89.25081433224756,8.360477741585234,2,0.7816224993671643,0.15637849506578946,0.018483052359279783,0.7862524465187847,4,1,150k,medium
599,True,347.4404354283424,55.09181969949916,30.550918196994992,55.425709515859765,2,0.8553744858030513,0.12635535037878787,0.10646682614803214,0.8201435328531319,4,2,150k,medium
829,True,419.1993650309173,44.02895054282268,51.145958986731,44.149577804583835,2,0.7881608553499425,0.1469017551369863,0.04477926509529082,0.6945134571413558,3,3,150k,medium
1126,True,225.34383075349484,36.85612788632327,56.6607460035524,37.12255772646537,3,0.8795938157838343,0.11022449171686748,0.04714854294972287,0.8713755777075691,6,4,150k,medium
2771,True,759.825929893125,29.880909418982316,63.514976542764344,30.13352580295922,8,0.7736095885942967,0.142545101147343,0.05222833102555535,0.7899137848939253,15,5,150k,medium
116,True,-48.42321090735465,15.517241379310345,57.758620689655174,16.379310344827587,1,0.9661328365638343,0.07503255208333333,0.09477564928972203,0.9755134551117921,2,1,150k,fast_hard
3000,False,-72.52826026596671,24.366666666666667,64.73333333333333,24.633333333333333,8,0.9918775803951376,0.062168690150478795,0.08200792261707078,1.0899079507395832,16,2,150k,fast_hard
564,True,-148.81092576713456,15.24822695035461,71.45390070921985,15.602836879432624,2,0.9799684071474405,0.057299236918604654,0.07817505227590434,0.9867627942027885,4,3,150k,fast_hard
1170,True,-112.14432693574133,19.914529914529915,70.68376068376068,20.34188034188034,5,0.8246380242731881,0.1359894715665236,0.051272010457382514,0.8594575142192994,10,4,150k,fast_hard
1523,True,-548.1956524807849,8.995403808273146,82.73145108338805,9.389363099146422,6,0.8871071610259342,0.08350678604014598,0.038561665928162604,0.9017933640380784,12,5,150k,fast_hard
353,True,506.8120448804804,97.1671388101983,0.0,97.1671388101983,0,0.7726513188451488,0.13155407252186588,0.1106102651154453,0.7401486923034488,0,1,150k,recovery
1805,True,899.1693574869379,38.393351800554015,56.62049861495845,38.61495844875346,4,0.709298914274049,0.18051328012265513,0.0461301197927185,0.656115671911451,8,2,150k,recovery
598,True,400.231188123134,51.33779264214047,39.63210702341137,51.67224080267559,2,0.7542468685981124,0.13373816673452768,0.057291566151688796,0.7115824767074699,4,3,150k,recovery
876,True,303.74999368002653,35.50228310502283,56.278538812785385,35.84474885844749,3,0.7539657544182771,0.14595998291800644,0.04673987997429711,0.7450836069274951,6,4,150k,recovery
217,True,1.9377304123122443,28.571428571428573,47.004608294930875,29.493087557603687,2,0.712435574015138,0.16111706149193547,0.09421210273608772,0.7293460459277823,4,5,150k,recovery
1946,True,877.4797639772514,47.01952723535457,46.71120246659815,47.276464542651595,6,0.843759801432242,0.1380154969262295,0.050712842664951914,1.0063845010254255,11,1,250k,slow_easy
3000,False,4733.409396332436,75.76666666666667,16.233333333333334,76.03333333333333,9,0.675969293185443,0.20977103841289046,0.07474082205245826,0.9970696758701989,17,2,250k,slow_easy
2346,True,1716.011587027085,57.587382779198634,39.47144075021313,57.672634271099746,3,0.8274136675073465,0.12987847543486306,0.030637968986082686,0.5910540135657341,5,3,250k,slow_easy
780,True,1049.356700772302,89.48717948717949,5.384615384615385,89.61538461538461,2,0.8538012018595466,0.13092653116045846,0.05743738034302524,1.0374990249708194,3,4,250k,slow_easy
928,True,1536.8743808248437,90.73275862068965,6.142241379310345,90.84051724137932,1,0.7279692286440786,0.1751433528800475,0.054792071370148736,0.5904051044100769,2,5,250k,slow_easy
1302,True,380.3951726119332,31.029185867895546,63.0568356374808,31.259600614439325,3,0.7371350871025217,0.1442049234220297,0.03613114493936988,0.7479346662866351,6,1,250k,medium
916,True,247.36440855358174,33.73362445414847,56.33187772925764,34.1703056768559,4,0.7724758024472612,0.1211474767394822,0.056006315722043724,0.7683464330308145,8,2,250k,medium
3000,False,61.704746006338596,25.2,69.03333333333333,25.466666666666665,8,0.8475579763758262,0.12229766038359788,0.03471581540270775,0.8537238736690624,16,3,250k,medium
2773,True,-59.666912314270206,20.30292102416156,74.14352686620988,20.555355210962855,7,0.7822809375066173,0.14554250388543516,0.036618178635083064,0.6749697846632182,14,4,250k,medium
1050,True,168.32048007323544,37.04761904761905,51.142857142857146,37.523809523809526,5,0.8338915711967717,0.10186877410025708,0.07012979001884621,0.721266777259087,10,5,250k,medium
3000,False,567.8150597927731,28.2,60.0,28.7,15,0.874508070621343,0.126029661643026,0.06629028655765637,0.9045926525392275,30,1,250k,fast_hard
2271,True,-528.8952032770482,12.945838837516513,81.94627917217085,13.077939233817702,3,0.9560341880306472,0.0993336787840136,0.03529201441953197,1.0427356399399006,6,2,250k,fast_hard
2252,True,-578.1085121894382,12.344582593250443,82.59325044404973,12.477797513321493,3,1.074613314865461,0.061776360161870505,0.032425731818532214,1.1617050122414074,6,3,250k,fast_hard
3000,False,-856.4536058883746,8.5,84.9,8.733333333333333,8,0.9653613813073348,0.07955729166666667,0.029893840075895642,0.9580535660849125,15,4,250k,fast_hard
3000,False,-695.4023690729708,12.066666666666666,80.13333333333334,12.3,7,1.0072471085153438,0.08314539450966851,0.044798208693761,1.0767465609410434,14,5,250k,fast_hard
1446,True,259.13253294530006,32.2268326417704,60.23513139695712,32.50345781466113,4,0.8186930175008638,0.12811619836373392,0.05805329507648636,0.854733325518488,8,1,250k,recovery
826,True,76.63793183129668,34.624697336561745,51.45278450363196,35.23002421307506,5,0.838709497822108,0.12094009506118882,0.06460513113066554,0.8352017154106847,10,2,250k,recovery
3000,False,-47.96189276347964,22.433333333333334,68.86666666666666,22.8,12,0.875829283602436,0.09655634751114413,0.047556199961307444,0.9718268402383257,23,3,250k,recovery
1766,True,96.97607390108068,32.785956964892414,63.363533408833526,32.84258210645527,2,0.9421139365029118,0.09369771427029361,0.04817465390514044,0.8657195816536531,3,4,250k,recovery
2818,True,68.52012049034764,29.240596167494676,65.50745209368347,29.453513129879347,7,0.9482523912002042,0.08999544902912622,0.04657199254317654,1.0560170364255734,13,5,250k,recovery
567,True,-163.65045847953894,10.052910052910052,83.06878306878306,10.229276895943563,1,0.8209456587487612,0.13226425438596492,0.03947596231478764,0.8278319665610312,2,1,400k,slow_easy
3000,False,1431.717908228744,38.36666666666667,58.06666666666667,38.46666666666667,3,0.702860689076571,0.16910482053649,0.049658520622647834,0.9122275024780288,6,2,400k,slow_easy
2913,True,640.0838041209149,34.22588396841744,60.31582560933745,34.46618606247854,8,0.8257867689124521,0.13675793004012035,0.03766422332322051,0.717694256928718,15,3,400k,slow_easy
577,True,-153.02272048951338,10.051993067590988,82.66897746967071,10.225303292894282,1,0.6883307631804496,0.17123518318965517,0.036395111593366086,0.6939817065208994,2,4,400k,slow_easy
3000,False,5045.639187401727,88.86666666666666,8.466666666666667,88.96666666666667,4,0.7279121378872518,0.17770910012659416,0.05047179254100457,0.7569048066641102,7,5,400k,slow_easy
3000,False,1050.2592362859916,33.53333333333333,58.8,33.833333333333336,10,0.8211472760004178,0.134105523111332,0.05923598047585617,0.8637133687058766,19,1,400k,medium
3000,False,439.0499513478877,24.966666666666665,70.13333333333334,25.166666666666668,7,0.8619806274182072,0.12048225759345794,0.047030651097680606,0.6158059914807303,13,2,400k,medium
1275,True,101.04995299365025,28.235294117647058,57.333333333333336,28.784313725490197,7,0.8402118566627057,0.12263726128472222,0.07598483727424693,0.9142079257725675,14,3,400k,medium
3000,False,312.98809032977243,26.0,70.66666666666667,26.133333333333333,5,0.8112507314544878,0.1375626001602564,0.03918478327730957,0.8367624861436737,9,4,400k,medium
1845,True,138.65295749794066,23.956639566395665,70.18970189701896,24.119241192411923,4,0.8377931686875292,0.11641641332013575,0.042118648884044214,0.9644740128319804,7,5,400k,medium
1528,True,-113.03604780260325,15.31413612565445,73.69109947643979,15.837696335078535,8,0.8704243722389503,0.12300931490384616,0.05327541313512884,0.9192423064546563,16,1,400k,fast_hard
3000,False,338.3475847332849,31.2,59.733333333333334,31.6,12,0.9455176345595049,0.08841333633814102,0.07505713344702858,0.930354667349857,24,2,400k,fast_hard
2973,True,-426.8247080656119,16.548940464177598,76.3874873864783,16.784392869155734,7,0.9230876948910072,0.09210056211890244,0.048875219486484586,0.9903917421980369,14,3,400k,fast_hard
3000,False,-441.43673382281344,16.333333333333332,76.83333333333333,16.533333333333335,7,0.9454297377206761,0.09451530612244897,0.054824465489037966,0.9992248357974131,13,4,400k,fast_hard
3000,False,327.3378557826868,28.066666666666666,61.3,28.5,14,0.9875046138039828,0.08319222275831353,0.06558263697933185,0.9571081449712241,27,5,400k,fast_hard
1118,True,749.710787410311,62.25402504472272,34.883720930232556,62.34347048300537,1,0.9665513419835179,0.09572557471264367,0.06779070441955459,0.7629091484385617,2,1,400k,recovery
607,True,-146.18526707005185,9.225700164744646,78.5831960461285,9.555189456342669,2,0.8333204650703896,0.08935546875,0.03964005314081096,0.838743816281622,4,2,400k,recovery
455,True,157.31547949496886,49.23076923076923,41.31868131868132,49.67032967032967,2,0.9505979548161498,0.08514404296875,0.061982630459706624,0.9585817374151268,4,3,400k,recovery
2151,True,540.9985194642823,31.938633193863318,59.18177591817759,32.26406322640632,7,0.806040247441973,0.1349219887190684,0.06860460436166546,0.8201494038589591,14,4,400k,recovery
449,True,78.89848387523058,26.7260579064588,58.12917594654788,27.394209354120267,3,0.7908907487476132,0.1491943359375,0.07375602191625928,0.7989193653736532,6,5,400k,recovery
2890,True,545.1496263048048,24.878892733564015,72.73356401384083,24.982698961937718,3,0.6848419085488828,0.16263229094228093,0.024069994452866242,0.5084617715053412,6,1,500k,slow_easy
384,True,118.23945259457584,52.083333333333336,34.375,52.604166666666664,2,1.09820438743826,0.0537109375,0.056722577195614576,1.1013292852713228,4,2,500k,slow_easy
3000,False,234.08225506536903,18.833333333333332,75.16666666666667,19.1,9,0.7074789466456375,0.16256395188053097,0.02981787234424884,0.5703481084789616,17,3,500k,slow_easy
3000,False,633.1733152336884,29.566666666666666,61.666666666666664,29.966666666666665,13,0.8664421997493493,0.11122243165163473,0.04469605331520621,0.8754413909606897,25,4,500k,slow_easy
1900,True,831.0093648558195,38.1578947368421,56.26315789473684,38.421052631578945,5,0.7604306871514096,0.15899110991379312,0.04537434077376854,0.6768160285033933,10,5,500k,slow_easy
3000,False,1017.5361178397784,37.9,57.63333333333333,38.06666666666667,6,0.8619950681352869,0.11933559394239227,0.06125894352863877,0.678472820123269,11,1,500k,medium
1521,True,324.4102308407735,28.13938198553583,67.65285996055226,28.33662064431295,3,0.8547077590970357,0.13141610689252337,0.040240799473586344,0.8585606935554188,6,2,500k,medium
3000,False,992.7072702052166,36.06666666666667,57.63333333333333,36.3,8,0.889908799402455,0.12221111079020333,0.05280908525751537,0.8071873974697726,15,3,500k,medium
3000,False,-93.08208347652884,17.433333333333334,77.63333333333334,17.633333333333333,7,0.9165047887743754,0.09870376732791587,0.04002193962144639,0.8406116364377678,13,4,500k,medium
3000,False,418.78438214129443,24.3,70.5,24.466666666666665,6,0.8404244558950137,0.13744882758916324,0.041029340960520154,0.7901140093222532,11,5,500k,medium
3000,False,-277.54884905708644,16.533333333333335,77.33333333333333,16.766666666666666,8,0.9983809314600729,0.07662274760584678,0.043231481393080584,0.9728079748776242,15,1,500k,fast_hard
2094,True,-418.8021540824998,11.652340019102196,84.90926456542502,11.795606494746895,3,0.9077863573497296,0.1188724705430328,0.020548543025331455,0.9287063893863831,6,2,500k,fast_hard
3000,False,410.949705733036,28.233333333333334,62.46666666666667,28.6,11,0.9793591832369376,0.08526647358323494,0.06731140379017271,0.9816889355241223,22,3,500k,fast_hard
3000,False,-544.7259222946503,9.8,86.66666666666667,9.933333333333334,5,0.957680007679692,0.10223014987244898,0.028460826715451353,0.9758875382757006,9,4,500k,fast_hard
3000,False,-365.52276204258135,13.066666666666666,82.6,13.233333333333333,6,0.9351084001917457,0.10179667570153061,0.027830267136387973,0.8836004301614271,11,5,500k,fast_hard
