tier,episode,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
medium,17,2000,False,2453.36,59.5,0.6606,0.15076,0.1867,0.0725,0.9067,0.4681,0.3804,0.394,-0.0373,200000
medium,18,691,True,977.4,83.9,0.6405,0.10542,0.3099,0.2192,0.8337,0.6687,0.4165,0.2972,-0.1699,200000
medium,19,2000,False,2683.14,65.7,0.6753,0.13973,0.1496,0.0429,0.9639,0.4115,0.4105,0.3953,-0.0106,200000
medium,20,2000,False,2754.14,99.4,0.5621,0.03821,0.3082,0.5487,0.9954,0.7241,0.2154,0.4855,-0.544,200000
hard,21,668,True,-238.15,0.0,0.0,0.0,0.1629,0.032,0.9301,0.0,0.0,0.2081,-0.0148,200000
hard,22,2000,False,-323.77,6.9,1.0279,0.05874,0.1229,0.0183,0.9678,0.0008,0.0199,0.2692,-0.0046,200000
hard,23,2000,False,2398.18,90.9,0.8708,0.05619,0.1767,0.0536,0.976,0.1462,0.2659,0.4086,-0.0192,200000
hard,24,515,True,23.44,18.8,0.7565,0.09661,0.2282,0.0338,0.9032,0.0906,0.0881,0.337,-0.0124,200000
hard,25,2000,False,6557.15,97.6,0.2474,0.09794,0.4012,0.7408,0.9951,2.9054,0.4426,0.4872,-1.0277,200000
hard,26,1008,True,2051.55,77.7,0.4871,0.08657,0.1537,0.04,0.9089,1.1671,0.3168,0.3479,-0.0166,200000
hard,27,1066,True,461.23,42.3,0.7263,0.0616,0.2554,0.0456,0.8506,0.1926,0.1266,0.3188,-0.018,200000
hard,28,723,True,-217.66,1.9,1.136,0.02079,0.1534,0.0213,0.9367,0.0001,0.0032,0.2336,-0.0103,200000
hard,29,347,True,127.94,47.6,1.0903,0.03118,0.259,0.0487,0.9174,0.0687,0.0972,0.3832,-0.0239,200000
hard,30,2000,False,3240.97,56.6,0.4751,0.15477,0.2141,0.1513,0.9295,0.995,0.358,0.3983,-0.1484,200000
easy,1,1672,True,2751.03,82.2,0.6502,0.09208,0.1288,0.0681,0.9715,0.6159,0.3541,0.4077,-0.0325,300000
easy,2,2000,False,9165.12,100.0,0.2416,0.17646,0.0825,0.0903,0.9986,2.8132,0.8085,0.4942,-0.0335,300000
easy,3,2000,False,7804.16,100.0,0.2742,0.09236,0.0985,0.1471,0.9984,2.5524,0.4234,0.4957,-0.0718,300000
easy,4,2000,False,8218.16,100.0,0.2628,0.1706,0.1538,0.1878,0.9943,2.5954,0.6726,0.4833,-0.1326,300000
easy,5,2000,False,5734.64,100.0,0.4303,0.12018,0.0812,0.1077,0.9974,1.3624,0.5421,0.4946,-0.0303,300000
easy,6,2000,False,6812.24,100.0,0.3605,0.12299,0.0944,0.1145,0.9977,1.902,0.5654,0.4861,-0.0486,300000
easy,7,1508,True,2277.02,78.8,0.6649,0.0974,0.1275,0.0631,0.978,0.5189,0.3422,0.4048,-0.0269,300000
easy,8,1195,True,3174.36,97.2,0.5359,0.13112,0.1467,0.1337,0.9627,1.2959,0.5621,0.4394,-0.0789,300000
easy,9,2000,False,7981.25,100.0,0.3074,0.15873,0.1048,0.0927,0.9958,2.357,0.7068,0.4781,-0.0472,300000
easy,10,728,True,2019.83,95.6,0.5018,0.16936,0.2329,0.2304,0.9345,1.4985,0.6798,0.4092,-0.2067,300000
medium,11,2000,False,7775.58,100.0,0.2922,0.11356,0.1243,0.1697,0.9967,2.4945,0.5232,0.4872,-0.1195,300000
medium,12,2000,False,6758.59,99.3,0.3052,0.05661,0.1845,0.2988,0.9951,2.4078,0.2794,0.4756,-0.2725,300000
medium,13,2000,False,5295.12,86.5,0.4714,0.15972,0.1388,0.1263,0.9895,1.3128,0.6117,0.4546,-0.0884,300000
medium,14,2000,False,6066.57,92.2,0.4183,0.20566,0.1497,0.2162,0.9956,1.5742,0.7769,0.453,-0.1906,300000
medium,15,426,True,1218.7,97.4,0.4384,0.09614,0.1942,0.0556,0.9217,1.7325,0.4342,0.3645,-0.0154,300000
medium,16,753,True,1674.4,91.1,0.5708,0.0818,0.3029,0.1663,0.9213,1.2682,0.3473,0.3837,-0.1111,300000
medium,17,478,True,-5.47,39.7,0.9365,0.06388,0.5039,0.0778,0.6353,0.0746,0.1303,0.1657,-0.0422,300000
medium,18,2000,False,7593.03,99.5,0.2809,0.09193,0.1388,0.2144,0.9965,2.5416,0.4206,0.4828,-0.1462,300000
medium,19,1866,True,5305.1,99.2,0.446,0.10463,0.1459,0.159,0.9749,1.5966,0.4864,0.4384,-0.1378,300000
medium,20,2000,False,3694.83,79.9,0.5917,0.11294,0.1739,0.1432,0.9862,0.8192,0.4152,0.4299,-0.1076,300000
hard,21,643,True,-115.48,14.5,0.8551,0.02328,0.2738,0.0666,0.8828,0.0373,0.0249,0.2674,-0.0472,300000
hard,22,2000,False,2263.5,64.2,0.7081,0.10397,0.2066,0.0873,0.9523,0.4068,0.315,0.3512,-0.0503,300000
hard,23,1811,True,2597.05,79.3,0.6801,0.09729,0.2531,0.1257,0.9524,0.504,0.3667,0.4092,-0.1003,300000
hard,24,2000,False,5275.64,81.5,0.4537,0.09997,0.2043,0.1623,0.9767,1.6114,0.3845,0.4372,-0.0892,300000
hard,25,2000,False,7032.4,95.0,0.3707,0.18707,0.1042,0.0843,0.9945,1.8475,0.7998,0.4808,-0.0592,300000
hard,26,557,True,-12.64,39.0,0.8729,0.04565,0.4618,0.0848,0.7966,0.0685,0.0984,0.1496,-0.0593,300000
hard,27,600,True,-251.52,2.0,1.0226,0.00651,0.2535,0.0421,0.9083,0.0002,0.0026,0.1518,-0.0311,300000
