episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_speed,target_offset,init_pos,init_vel,init_ang
38,3368,-161.23,74,0.0,0.0,0.0,0.5007,0.6658,0.5117,0.0,0.0,0.2991,-0.8075,A,0.0848,0.203,0.201,0.101,0.03
39,3428,-145.07,60,0.0,0.0,0.0,0.5149,0.7003,0.4948,0.0,0.0,0.3269,-0.8452,A,0.0608,0.203,0.202,0.101,0.03
40,3577,-77.28,149,57.0,0.6652,0.1749,0.4773,0.6212,0.5724,0.2931,0.4454,0.1557,-0.7041,A,0.078,0.203,0.202,0.101,0.03
41,3655,-175.51,78,5.1,1.3299,0.0039,0.5208,0.6958,0.4468,0.0,0.0063,0.2207,-0.874,A,0.0889,0.203,0.202,0.101,0.03
42,3709,-138.05,54,0.0,0.0,0.0,0.4948,0.6896,0.452,0.0,0.0,0.2966,-0.8024,A,0.0962,0.203,0.202,0.101,0.03
43,3861,-112.63,152,61.2,1.0355,0.0873,0.506,0.639,0.6084,0.0359,0.2554,0.2817,-0.7569,A,0.0721,0.203,0.202,0.101,0.03
44,3961,-218.99,100,0.0,0.0,0.0,0.5065,0.7251,0.436,0.0,0.0,0.1875,-0.9152,A,0.0708,0.204,0.202,0.101,0.03
45,4064,-209.32,103,10.7,0.915,0.0329,0.5313,0.7328,0.5127,0.0058,0.0211,0.215,-0.9509,A,0.0598,0.204,0.202,0.101,0.03
46,4121,-115.7,57,35.1,0.9685,0.0779,0.493,0.6645,0.4304,0.007,0.1305,0.2886,-0.7903,A,0.0736,0.204,0.202,0.101,0.03
47,4171,-137.61,50,0.0,0.0,0.0,0.5082,0.6869,0.3522,0.0,0.0,0.2803,-0.8281,A,0.0625,0.204,0.202,0.101,0.03
48,4372,-316.58,201,6.5,1.1704,0.0047,0.5134,0.6821,0.7075,0.0002,0.008,0.1755,-0.8418,A,0.0552,0.204,0.202,0.101,0.03
49,4481,-205.89,109,0.0,0.0,0.0,0.4845,0.6434,0.5238,0.0,0.0,0.2037,-0.7321,A,0.0892,0.204,0.202,0.101,0.03
50,4573,-196.02,92,0.0,0.0,0.0,0.5138,0.6737,0.4324,0.0,0.0,0.2034,-0.8091,A,0.0967,0.204,0.202,0.101,0.03
51,4749,-291.08,176,1.7,1.3848,0.0029,0.4977,0.6775,0.6345,0.0,0.002,0.2023,-0.8142,A,0.077,0.204,0.202,0.101,0.03
52,4829,-112.86,80,52.5,0.8075,0.0684,0.481,0.6183,0.5212,0.0958,0.172,0.2531,-0.6804,A,0.0642,0.204,0.202,0.101,0.03
53,4893,-70.35,64,57.8,0.6253,0.2023,0.5342,0.6804,0.4293,0.4651,0.4596,0.2679,-0.8565,A,0.0691,0.204,0.202,0.101,0.03
54,4981,-176.83,88,0.0,0.0,0.0,0.5035,0.6312,0.4729,0.0,0.0,0.26,-0.7302,A,0.0531,0.204,0.202,0.101,0.03
55,5079,-203.64,98,0.0,0.0,0.0,0.527,0.6858,0.5922,0.0,0.0,0.1903,-0.8699,A,0.0626,0.205,0.202,0.101,0.03
56,5129,-138.36,50,0.0,0.0,0.0,0.5391,0.7178,0.4445,0.0,0.0,0.2947,-0.9037,A,0.0776,0.205,0.202,0.101,0.03
57,5186,-121.22,57,36.8,0.767,0.0554,0.4827,0.6697,0.3889,0.1025,0.1031,0.2618,-0.7653,A,0.066,0.205,0.202,0.101,0.03
58,5261,-175.29,75,0.0,0.0,0.0,0.5082,0.6759,0.3739,0.0,0.0,0.2032,-0.8137,A,0.0628,0.205,0.202,0.101,0.03
59,5362,-196.8,101,0.0,0.0,0.0,0.497,0.678,0.5749,0.0,0.0,0.243,-0.8057,A,0.086,0.205,0.202,0.101,0.03
60,5495,-223.38,133,14.3,0.6318,0.0429,0.4941,0.6345,0.4589,0.1371,0.0329,0.169,-0.732,A,0.0716,0.205,0.202,0.101,0.03
61,5624,-210.45,129,24.8,1.0332,0.0485,0.5124,0.6674,0.4415,0.0017,0.0615,0.1465,-0.7824,A,0.0911,0.205,0.202,0.101,0.03
62,5711,-167.48,87,0.0,0.0,0.0,0.4558,0.637,0.6127,0.0,0.0,0.2978,-0.7444,A,0.0922,0.205,0.203,0.101,0.031
63,5839,-155.43,128,35.2,0.6871,0.1614,0.5006,0.671,0.3354,0.2551,0.2284,0.1534,-0.789,A,0.0564,0.205,0.203,0.101,0.031
64,5946,-217.9,107,0.0,0.0,0.0,0.5041,0.6716,0.404,0.0,0.0,0.1895,-0.7935,A,0.0675,0.205,0.203,0.101,0.031
65,6039,-181.8,93,11.8,1.0489,0.0259,0.49,0.6726,0.4889,0.0008,0.0212,0.2223,-0.8074,A,0.073,0.205,0.203,0.101,0.031
