episode,timestep,reward,steps,mean_pos_error,mean_alt_error,omega_scale,phase,r_tracking,r_velocity,r_altitude,r_stability,r_progress,r_off_track
58,4476,4.43,68,0.1247,0.8152,0.308,A,1.4232,0.5,0.0016,0.4912,0.1,0.0
59,4558,4.02,82,0.324,0.9375,0.308,A,1.0309,0.5,0.0007,0.4146,0.1,-0.1402
60,4702,6.47,144,0.5521,1.0787,0.308,A,0.72,0.6186,0.0006,0.5004,0.1,-0.2396
61,4743,2.77,41,0.0606,0.851,0.308,A,1.7379,0.5,0.0009,0.3625,0.1,0.0
62,4897,5.66,154,1.5369,1.7546,0.308,A,0.6904,0.6475,0.0005,0.241,0.1,-0.2792
63,4973,2.86,76,0.4316,1.033,0.308,A,0.9047,0.5,0.0007,0.1618,0.1,-0.1776
64,5055,4.37,82,0.2567,0.889,0.308,A,1.1483,0.5,0.001,0.3953,0.1,-0.1037
65,5108,3.92,53,0.0611,0.8131,0.308,A,1.7222,0.5,0.0014,0.5223,0.1,0.0
66,5159,3.74,51,0.0659,0.8246,0.308,A,1.7214,0.5,0.0012,0.5113,0.1,0.0
67,5290,7.1,131,0.4545,0.9772,0.308,A,0.937,0.608,0.0008,0.5651,0.1,-0.1832
68,5392,4.66,102,0.5377,0.9857,0.308,A,0.9444,0.5018,0.0006,0.4039,0.1,-0.1912
69,5452,4.74,60,0.0339,0.8293,0.308,A,1.917,0.5,0.0012,0.5165,0.1,0.0
70,5560,6.01,108,0.261,0.9325,0.308,A,1.0148,0.4636,0.0005,0.6499,0.1,-0.1157
71,5617,3.65,57,0.0994,0.7657,0.308,A,1.5369,0.5,0.0032,0.3785,0.1,0.0
72,5716,5.34,99,0.2594,0.9167,0.308,A,1.0149,0.5,0.0006,0.5612,0.1,-0.1061
73,5763,3.37,47,0.0548,0.808,0.308,A,1.7747,0.5,0.0015,0.4575,0.1,0.0
74,5871,5.3,108,0.4143,1.0159,0.308,A,0.891,0.5416,0.0004,0.5274,0.1,-0.1713
75,6057,10.93,186,0.6494,1.0481,0.308,A,0.9441,0.7164,0.0008,0.6626,0.1,-0.1989
76,6172,5.38,115,0.3394,0.8352,0.312,A,0.8529,0.4401,0.0012,0.6667,0.1,-0.1696
77,6276,3.16,104,0.789,1.083,0.312,A,0.6838,0.5085,0.0009,0.2276,0.1,-0.25
78,6328,2.96,52,0.126,0.8167,0.312,A,1.4238,0.5,0.0015,0.3602,0.1,0.0
79,6439,4.45,111,0.6492,0.9537,0.312,A,0.7747,0.5057,0.0008,0.4691,0.1,-0.2207
80,6478,2.61,39,0.053,0.807,0.312,A,1.7839,0.5,0.0015,0.4312,0.1,0.0
81,6650,6.4,172,1.1586,1.0966,0.312,A,0.7623,0.3806,0.0013,0.4848,0.1,-0.2442
82,6804,5.99,154,0.7036,1.064,0.312,A,0.6032,0.4937,0.0003,0.6488,0.1,-0.2857
83,6948,6.07,144,0.7438,0.8113,0.312,A,0.7669,0.4567,0.0032,0.5784,0.1,-0.2188
84,7066,4.87,118,0.6063,0.994,0.312,A,0.7553,0.5467,0.0006,0.4973,0.1,-0.2288
85,7178,5.1,112,0.4979,1.1437,0.312,A,0.9849,0.5333,0.0004,0.3945,0.1,-0.1786
86,7253,3.53,75,0.2976,0.8798,0.312,A,1.0653,0.5,0.001,0.3939,0.1,-0.1267
87,7371,4.6,118,0.781,1.0012,0.312,A,0.7597,0.4722,0.0008,0.4759,0.1,-0.2331
88,7459,3.7,88,0.4386,0.8437,0.312,A,0.9145,0.5,0.0016,0.3708,0.1,-0.1705
89,7577,6.73,118,0.2835,0.9461,0.312,A,1.1322,0.5489,0.0007,0.5843,0.1,-0.1144
90,7797,6.34,220,1.747,1.4515,0.312,A,0.4851,0.4083,0.0005,0.4767,0.1,-0.3205
91,7954,4.49,157,1.5044,1.4551,0.312,A,0.621,0.388,0.0006,0.3271,0.1,-0.2803
92,8068,5.52,114,0.3734,1.0437,0.312,A,0.9611,0.5046,0.0005,0.5321,0.1,-0.1667
93,8184,4.28,116,0.7402,1.0373,0.312,A,0.7788,0.429,0.0006,0.4147,0.1,-0.2284
94,8304,5.01,120,0.604,0.7389,0.316,A,0.7694,0.5147,0.0051,0.5077,0.1,-0.225
95,8484,7.78,180,0.514,0.9245,0.316,A,0.6208,0.7111,0.021,0.4194,0.1,-0.1778
96,8637,5.89,153,0.9229,1.0759,0.316,A,0.6217,0.541,0.0005,0.5318,0.1,-0.2712
97,8748,4.99,111,0.4389,0.963,0.316,A,0.8191,0.4943,0.0006,0.5687,0.1,-0.1937
98,8854,5.38,106,0.3579,0.8183,0.316,A,1.1167,0.5022,0.0025,0.4279,0.1,-0.1415
99,9016,6.27,162,1.0846,1.193,0.316,A,0.7484,0.4172,0.0004,0.5101,0.1,-0.2531
100,9164,6.02,148,0.9926,1.2003,0.316,A,0.7917,0.4836,0.0006,0.4721,0.1,-0.2432
101,9384,8.49,220,0.9073,1.0656,0.316,A,0.6196,0.2783,0.0006,0.7787,0.1,-0.2705
102,9558,4.73,174,1.2911,1.12,0.316,A,0.4984,0.3865,0.0014,0.4254,0.1,-0.319
103,9696,5.71,138,0.8332,0.7952,0.316,A,0.7371,0.5156,0.0039,0.5322,0.1,-0.2464
104,9857,5.96,161,1.308,1.2596,0.316,A,0.6536,0.5464,0.0004,0.4503,0.1,-0.2857
105,10080,6.37,223,1.1942,1.34,0.316,A,0.5017,0.33,0.0044,0.4751,0.1,-0.287
106,10296,6.86,216,1.112,1.6498,0.32,A,0.5259,0.3278,0.0004,0.4974,0.1,-0.2014
107,10512,7.21,216,1.4177,1.2285,0.32,A,0.5317,0.3359,0.0004,0.6479,0.1,-0.3032
108,10723,9.63,211,0.8258,0.7537,0.32,A,0.5938,0.6703,0.0075,0.6762,0.1,-0.2654
109,11086,14.53,363,1.1874,1.5088,0.32,A,0.7051,0.3911,0.0003,0.6229,0.1,-0.2424
110,11275,5.34,189,1.9531,1.2463,0.32,A,0.5161,0.4519,0.0006,0.4275,0.1,-0.3069
111,11481,5.11,206,1.8936,1.0695,0.32,A,0.4527,0.3408,0.0003,0.492,0.1,-0.3422
112,11608,5.16,127,0.7291,1.0039,0.32,A,0.7349,0.5966,0.0006,0.5098,0.1,-0.2402
113,11773,7.01,165,0.515,1.2254,0.32,A,0.8523,0.3363,0.0002,0.6734,0.1,-0.2061
114,11972,8.08,199,1.8679,1.1203,0.32,A,0.5267,0.7061,0.0013,0.6659,0.1,-0.3241
115,12228,5.81,256,1.1994,1.6384,0.32,A,0.3933,0.3932,0.0002,0.4225,0.1,-0.3633
116,12482,10.45,254,1.5771,0.5791,0.325,A,0.4595,0.7001,0.1521,0.6134,0.1,-0.3406
117,12767,11.96,285,1.2414,0.5224,0.325,A,0.4976,0.6307,0.18,0.6495,0.1,-0.3351
