episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,r_stability,r_centering,r_scale
71,9237,583.25,277,78.0,0.2965,0.1124,0.5483,0.7841,1.1876,0.3902
72,9485,618.76,248,96.0,0.404,0.0959,0.5456,0.9567,1.1978,0.4211
73,9751,627.53,266,96.6,0.5294,0.0916,0.529,0.9674,1.0566,0.4065
74,10037,609.1,286,86.4,0.4336,0.0916,0.5469,0.8747,1.0603,0.3661
75,10265,559.67,228,100.0,0.4283,0.0904,0.5504,0.9154,1.1621,0.4211
76,10495,654.44,230,100.0,0.2957,0.0936,0.5581,0.9625,1.4962,0.4301
77,10735,670.17,240,100.0,0.2876,0.088,0.5612,0.9333,1.4939,0.4069
78,10980,615.13,245,98.4,0.3844,0.0907,0.5656,0.8924,1.2634,0.4121
79,11215,617.0,235,100.0,0.3629,0.088,0.5523,0.9104,1.3486,0.4091
80,11448,636.87,233,100.0,0.2908,0.0889,0.556,0.8389,1.5247,0.4126
81,11654,588.73,206,100.0,0.281,0.0915,0.5852,0.9606,1.5276,0.4182
82,11852,564.21,198,100.0,0.2861,0.0917,0.5945,0.9475,1.531,0.4215
83,12054,518.43,202,100.0,0.4086,0.0877,0.5947,0.9675,1.2393,0.4091
84,12260,531.55,206,98.1,0.3821,0.0961,0.6021,0.962,1.2568,0.4295
85,12470,607.91,210,100.0,0.2739,0.0906,0.5855,0.9495,1.5738,0.4191
86,12669,480.74,199,100.0,0.4522,0.1002,0.6137,0.9215,1.097,0.4475
87,12894,611.16,225,100.0,0.3456,0.0931,0.5565,0.9637,1.3691,0.428
88,13156,691.17,262,100.0,0.36,0.0841,0.5421,0.9605,1.3238,0.392
89,13389,336.81,233,63.9,0.4519,0.1321,0.5622,0.7494,0.7356,0.364
90,13627,345.66,238,68.9,0.5308,0.1205,0.5528,0.7451,0.6942,0.3659
91,13896,331.4,269,58.4,0.4545,0.1254,0.5212,0.6928,0.6694,0.3233
92,14192,318.45,296,58.4,0.6087,0.1235,0.5193,0.7099,0.4958,0.3195
93,14439,377.33,247,70.0,0.5732,0.1247,0.5622,0.7985,0.681,0.3882
94,14769,268.75,330,49.7,0.6263,0.1257,0.5365,0.6245,0.4437,0.2795
95,15116,245.76,347,43.8,0.5661,0.1426,0.5379,0.6106,0.4136,0.2748
96,15509,280.88,393,46.3,0.5306,0.1171,0.58,0.569,0.4657,0.2423
97,16009,183.8,500,29.8,0.5707,0.1518,0.5418,0.5789,0.2951,0.1957
98,16509,326.16,500,29.6,0.5311,0.1523,0.4877,0.8616,0.2979,0.1968
99,16763,386.5,254,63.8,0.4286,0.1467,0.6218,0.7672,0.7477,0.4084
100,16995,400.73,232,70.7,0.461,0.1488,0.6273,0.8391,0.7664,0.458
101,17267,376.12,272,60.7,0.4689,0.1522,0.5828,0.7541,0.6502,0.4087
102,17767,427.15,500,38.6,0.4174,0.1602,0.6071,0.7181,0.4725,0.2777
103,18051,412.92,284,55.3,0.4494,0.1842,0.5263,0.856,0.634,0.4463
104,18358,481.58,307,59.9,0.4167,0.1991,0.5355,0.7295,0.7551,0.5174
105,18617,460.76,259,64.1,0.3482,0.2036,0.5173,0.7202,0.8904,0.5661
106,18899,477.43,282,60.6,0.2837,0.1884,0.5103,0.6925,0.9257,0.5039
107,19128,641.31,229,93.0,0.3435,0.221,0.4521,0.7552,1.2926,0.8662
108,19465,391.91,337,46.0,0.2601,0.2254,0.5554,0.6015,0.7153,0.4158
109,19829,471.15,364,48.9,0.2883,0.1804,0.5165,0.6974,0.743,0.3924
110,20329,745.6,500,50.6,0.2539,0.1744,0.5025,0.7669,0.8249,0.3934
111,20650,489.93,321,54.8,0.3429,0.1765,0.4666,0.8257,0.7661,0.4173
112,20942,514.18,292,59.2,0.3172,0.1728,0.4702,0.8979,0.851,0.4537
113,21303,613.49,361,69.0,0.4353,0.1426,0.4881,0.7789,0.8185,0.4399
114,21645,808.73,342,74.6,0.2443,0.1539,0.4694,0.9195,1.2214,0.5075
115,21943,601.9,298,70.8,0.3915,0.1544,0.5064,0.9227,0.9364,0.4862
116,22282,585.72,339,60.2,0.3675,0.151,0.491,0.9479,0.81,0.3976
117,22595,501.26,313,54.0,0.3073,0.1611,0.5223,0.9294,0.78,0.3841
118,22923,702.05,328,85.7,0.4502,0.1269,0.5064,0.8495,0.9757,0.4889
119,23214,523.82,291,64.6,0.3823,0.1586,0.5717,0.9137,0.8217,0.4529
120,23548,596.05,334,76.3,0.5637,0.1198,0.5105,0.8686,0.7611,0.4214
121,23855,424.43,307,67.1,0.5601,0.1264,0.4851,0.7484,0.6081,0.3876
122,24327,653.38,472,60.0,0.4529,0.1415,0.4854,0.7335,0.6907,0.3817
123,24753,856.11,426,82.9,0.5069,0.1143,0.4532,0.9072,0.8558,0.4416
124,25169,863.1,416,77.6,0.4381,0.1459,0.4682,0.8906,0.9211,0.5106
125,25536,469.65,367,49.0,0.3944,0.1699,0.5075,0.8026,0.6514,0.3624
126,25910,761.08,374,75.1,0.4247,0.1513,0.5053,0.8769,0.9206,0.5129
127,26255,478.03,345,58.0,0.5247,0.142,0.5413,0.8662,0.6017,0.3671
128,26607,330.8,352,41.2,0.4835,0.1881,0.4939,0.7835,0.4348,0.3379
129,26983,664.99,376,66.5,0.4527,0.1392,0.4809,0.8964,0.8162,0.4177
130,27318,439.43,335,42.7,0.228,0.1799,0.5157,0.8606,0.7189,0.3352
131,27709,460.09,391,47.6,0.4502,0.1671,0.4879,0.8263,0.5519,0.3484
132,28095,476.75,386,43.5,0.3271,0.1704,0.4647,0.8813,0.616,0.3284
133,28438,414.87,343,41.1,0.2742,0.1881,0.4954,0.8385,0.653,0.3362
134,28748,401.04,310,46.1,0.3123,0.1787,0.5054,0.8162,0.6927,0.3558
135,29130,515.42,382,66.2,0.5229,0.1396,0.516,0.6355,0.669,0.4087
136,29481,428.79,351,58.7,0.5665,0.1609,0.5489,0.6676,0.5824,0.4132
137,29876,546.67,395,50.9,0.4495,0.1762,0.423,0.8915,0.6157,0.3933
138,30203,611.64,327,73.7,0.5412,0.1801,0.4541,0.8461,0.7482,0.5698
139,30598,552.8,395,68.9,0.6973,0.1417,0.4784,0.7711,0.5353,0.4298
140,30833,460.45,235,74.5,0.41,0.1628,0.5177,0.8068,0.9342,0.5162
141,31318,396.52,485,38.4,0.2996,0.1396,0.5158,0.628,0.592,0.2346
142,31625,428.89,307,58.3,0.4117,0.1731,0.5027,0.6716,0.7414,0.4335
143,32120,580.76,495,49.5,0.419,0.1344,0.4886,0.7839,0.6281,0.2865
144,32415,610.48,295,66.4,0.2838,0.2073,0.4575,0.8392,1.0192,0.5805
145,32642,561.3,227,92.1,0.4199,0.1722,0.4787,0.7427,1.1656,0.6877
146,32898,590.27,256,84.0,0.3798,0.176,0.4794,0.7202,1.1381,0.6467
147,33213,468.62,315,56.8,0.3018,0.1849,0.4834,0.654,0.8389,0.4582
148,33442,438.98,229,74.2,0.3574,0.1472,0.5367,0.6942,1.0452,0.4789
149,33687,653.8,245,94.7,0.3337,0.1632,0.4721,0.7591,1.3234,0.68
150,33947,579.1,260,87.3,0.4347,0.151,0.4915,0.7559,1.0618,0.575
151,34203,678.43,256,100.0,0.4125,0.1597,0.474,0.7614,1.2131,0.7147
152,34481,543.26,278,73.0,0.3473,0.164,0.4987,0.7114,1.0263,0.5222
153,34796,854.21,315,81.9,0.1823,0.1774,0.4537,0.8542,1.4266,0.6437
154,35058,680.23,262,100.0,0.3242,0.1264,0.5098,0.6571,1.4102,0.5671
155,35262,515.58,204,95.1,0.3725,0.1798,0.5033,0.6191,1.2772,0.7291
156,35680,472.86,418,49.5,0.2592,0.1562,0.4928,0.5421,0.7827,0.3352
157,35888,511.96,208,83.2,0.2832,0.1979,0.4831,0.6999,1.2798,0.6979
158,36110,582.88,222,100.0,0.3913,0.1654,0.5091,0.6875,1.2537,0.7295
159,36377,699.7,267,84.6,0.1897,0.1678,0.4793,0.7248,1.4544,0.6324
160,36645,669.09,268,83.2,0.2185,0.15,0.5181,0.7734,1.3762,0.5522
161,36907,611.76,262,91.2,0.4208,0.1502,0.5151,0.7052,1.1554,0.6003
162,37148,547.81,241,72.6,0.2045,0.191,0.4928,0.7497,1.2329,0.6058
163,37408,576.26,260,71.5,0.2282,0.1971,0.4976,0.7501,1.1793,0.61
164,37640,465.81,232,65.1,0.2395,0.1981,0.4958,0.7882,1.0528,0.5591
165,38009,935.06,369,80.5,0.2318,0.1609,0.4686,0.8404,1.3386,0.5773
166,38305,678.64,296,74.3,0.2588,0.182,0.4717,0.8009,1.1861,0.5962
167,38621,753.1,316,73.7,0.1996,0.1864,0.4857,0.833,1.2421,0.6025
168,38875,511.37,254,63.4,0.2478,0.1989,0.4917,0.8569,1.02,0.5419
169,39130,472.69,255,59.6,0.2618,0.2158,0.4908,0.8401,0.9331,0.5236
170,39490,819.18,360,81.1,0.3749,0.1541,0.4702,0.8327,1.097,0.5624
171,39801,706.07,311,75.9,0.3634,0.2035,0.4822,0.8561,1.0292,0.6583
172,40146,708.57,345,76.8,0.4111,0.1527,0.489,0.7691,1.0156,0.53
173,40428,580.04,282,68.1,0.3355,0.2077,0.487,0.8456,0.959,0.6068
174,40762,795.62,334,73.1,0.2382,0.1972,0.4886,0.8614,1.196,0.6241
175,41262,1000.7,500,71.0,0.359,0.1699,0.509,0.7959,0.9549,0.5406
176,41543,572.78,281,66.2,0.29,0.2153,0.4942,0.8184,1.0045,0.5892
177,41840,546.27,297,61.3,0.2881,0.1979,0.4988,0.8095,0.9341,0.5165
178,42112,500.73,272,62.5,0.2803,0.1867,0.5063,0.794,0.9495,0.5092
179,42485,925.84,373,76.1,0.2342,0.191,0.4822,0.853,1.254,0.6406
180,42985,1041.86,500,71.6,0.3886,0.1693,0.4452,0.875,0.955,0.5377
181,43399,813.67,414,67.1,0.3007,0.1823,0.4689,0.777,0.994,0.5471
182,43899,1622.02,500,94.2,0.2037,0.1701,0.4344,0.9902,1.593,0.7188
183,44399,1256.13,500,78.4,0.2312,0.1578,0.4467,0.8782,1.2878,0.5622
184,44833,896.23,434,71.9,0.397,0.1907,0.4562,0.8552,0.9139,0.6
185,45333,699.82,500,50.4,0.3385,0.1991,0.4662,0.7637,0.7026,0.4293
186,45833,1327.92,500,78.6,0.1981,0.2066,0.4511,0.8173,1.3373,0.7152
187,46333,861.22,500,57.6,0.3555,0.174,0.4391,0.9064,0.7972,0.4429
188,46819,1157.43,486,86.0,0.436,0.1602,0.4644,0.8624,1.0647,0.615
189,47312,742.61,493,48.7,0.2623,0.2339,0.4484,0.8092,0.7659,0.4646
190,47812,1829.71,500,100.0,0.1593,0.1837,0.4334,0.9958,1.8344,0.8292
191,48312,594.74,500,50.2,0.4495,0.174,0.4564,0.7278,0.5771,0.3826
192,48811,864.44,499,67.9,0.51,0.1813,0.4425,0.8383,0.7093,0.5255
193,49311,1162.01,500,80.0,0.4477,0.1924,0.4397,0.9285,0.9282,0.6673
194,49683,642.77,372,72.8,0.5447,0.155,0.4366,0.8486,0.679,0.4987
195,50143,884.36,460,68.0,0.3925,0.1882,0.4359,0.8528,0.8574,0.5536
196,50643,1483.66,500,89.2,0.3224,0.2226,0.4333,0.9832,1.2672,0.825
197,51065,867.51,422,72.5,0.3907,0.1869,0.4265,0.8525,0.9316,0.5702
198,51522,852.76,457,68.3,0.3935,0.1834,0.4183,0.8333,0.8306,0.5412
199,52022,942.63,500,70.0,0.5253,0.2001,0.4164,0.9548,0.6796,0.5509
200,52522,1834.39,500,100.0,0.178,0.1998,0.3948,0.9941,1.7814,0.8932
201,53022,1518.05,500,100.0,0.4335,0.2085,0.437,0.9825,1.1447,0.9089
202,53522,1579.74,500,100.0,0.3739,0.2333,0.4038,0.9889,1.285,0.8856
203,53939,749.47,417,68.3,0.4849,0.2019,0.4658,0.8897,0.7208,0.5273
204,54439,542.45,500,41.2,0.4357,0.2088,0.4503,0.8664,0.4857,0.3208
205,54939,1021.93,500,65.4,0.3666,0.2037,0.4262,0.9668,0.8727,0.5503
206,55439,647.9,500,44.8,0.445,0.2149,0.4435,0.9708,0.5052,0.3717
207,55939,685.96,500,45.6,0.4055,0.1918,0.4428,0.983,0.561,0.372
208,56439,692.72,500,46.2,0.3583,0.1902,0.4357,0.9298,0.6157,0.3779
209,56939,977.84,500,65.8,0.385,0.1842,0.4635,0.9142,0.8564,0.527
210,57439,1276.33,500,80.0,0.3296,0.1926,0.4493,0.9345,1.1407,0.6774
211,57939,754.17,500,47.2,0.3378,0.2173,0.4272,0.9623,0.6586,0.4155
212,58439,600.06,500,41.4,0.4417,0.2019,0.429,0.9675,0.4713,0.3473
213,58939,1461.93,500,99.8,0.4679,0.2045,0.4217,0.9932,1.1073,0.8254
214,59439,738.63,500,52.8,0.4778,0.1589,0.4226,0.9725,0.6059,0.3709
215,59939,674.41,500,59.4,0.628,0.1447,0.4559,0.8912,0.4945,0.3691
216,60439,763.97,500,57.2,0.4809,0.176,0.463,0.8918,0.6374,0.4268
217,60939,1499.92,500,92.6,0.3428,0.2088,0.4162,0.9878,1.2687,0.8173
218,61439,688.24,500,49.2,0.4428,0.1831,0.4671,0.9111,0.5824,0.3909
219,61939,788.63,500,49.0,0.309,0.1916,0.4031,0.9698,0.712,0.4055
220,62439,771.71,500,52.6,0.3738,0.1926,0.4655,0.892,0.6969,0.4285
221,62715,521.97,276,75.7,0.4068,0.1832,0.4109,0.7401,0.9576,0.4725
222,63028,824.86,313,100.0,0.468,0.2117,0.4104,0.8022,1.1054,0.7597
223,63528,704.33,500,47.8,0.4146,0.183,0.4514,0.9415,0.614,0.3752
224,63975,627.07,447,52.1,0.4524,0.2235,0.4534,0.8693,0.583,0.4517
225,64475,818.72,500,54.6,0.4102,0.2052,0.4426,0.9643,0.6582,0.4689
226,64975,1044.63,500,75.4,0.4613,0.1621,0.4543,0.9473,0.86,0.528
227,65475,916.81,500,57.6,0.3152,0.227,0.4238,0.8753,0.8521,0.5302
228,65794,432.45,319,53.9,0.4864,0.2287,0.4419,0.8257,0.5665,0.4556
229,66294,737.8,500,66.4,0.5848,0.1339,0.4775,0.8949,0.5463,0.3704
230,66653,383.41,359,47.6,0.5038,0.2379,0.4868,0.7707,0.4653,0.3835
231,66985,451.7,332,50.3,0.4565,0.2191,0.4469,0.8684,0.5825,0.4367
232,67485,617.37,500,53.6,0.4712,0.1432,0.517,0.7764,0.5927,0.3296
233,67904,589.52,419,46.3,0.2606,0.2252,0.4532,0.8565,0.7418,0.3695
234,68200,429.33,296,56.1,0.4212,0.2522,0.4677,0.7864,0.6804,0.4566
235,68472,569.43,272,79.0,0.3784,0.2102,0.5306,0.6833,1.0295,0.627
236,68754,724.6,282,89.4,0.3605,0.2054,0.5201,0.7682,1.1794,0.7638
237,68969,473.0,215,81.9,0.3756,0.1979,0.5031,0.6962,1.0639,0.6678
238,69257,444.85,288,54.2,0.2492,0.2284,0.4916,0.773,0.8722,0.3925
239,69499,425.21,242,64.9,0.3346,0.2379,0.4904,0.6664,0.9136,0.5695
240,69743,566.73,244,82.4,0.357,0.2112,0.4927,0.7024,1.1099,0.7276
241,70000,414.9,257,61.9,0.3772,0.2289,0.46,0.7826,0.8174,0.4346
242,70282,590.51,282,66.7,0.2522,0.2115,0.4463,0.8549,1.0543,0.5537
243,70519,440.32,237,66.2,0.3319,0.2242,0.4559,0.7049,0.9442,0.5885
244,70727,472.05,208,88.5,0.3756,0.2063,0.5302,0.6333,1.152,0.6476
245,70953,379.0,226,61.1,0.2934,0.2149,0.472,0.7109,0.9265,0.4733
246,71178,317.68,225,50.2,0.1939,0.2368,0.4434,0.7173,0.8716,0.3652
247,71486,619.63,308,59.4,0.1632,0.225,0.4368,0.8435,1.0747,0.5319
248,71719,370.24,233,61.4,0.2774,0.227,0.4672,0.6296,0.9421,0.4465
249,71963,365.51,244,50.8,0.2209,0.2375,0.4498,0.7949,0.8553,0.3806
250,72211,487.08,248,74.2,0.318,0.1905,0.4484,0.6586,1.0799,0.5239
251,72440,388.33,229,65.1,0.3013,0.2351,0.4785,0.6065,0.9561,0.5262
252,72622,394.36,182,85.2,0.424,0.2243,0.4633,0.6964,1.0097,0.6639
253,72846,430.57,224,69.2,0.2902,0.2366,0.4408,0.696,1.0291,0.5498
254,73164,658.94,318,67.0,0.2606,0.2385,0.4558,0.805,1.0518,0.577
255,73664,503.98,500,33.2,0.2195,0.2068,0.4253,0.8868,0.5556,0.2336
256,74164,506.6,500,38.2,0.409,0.2155,0.4883,0.8532,0.4747,0.3032
257,74664,564.67,500,38.6,0.3064,0.2313,0.4819,0.8476,0.5738,0.3219
258,75164,445.04,500,32.6,0.3752,0.2353,0.4648,0.8597,0.4382,0.2661
259,75664,390.61,500,26.4,0.2132,0.2399,0.4463,0.8716,0.4452,0.2003
260,76164,1191.15,500,81.6,0.3678,0.1686,0.4716,0.8662,1.1041,0.596
261,76664,867.28,500,66.8,0.5108,0.1823,0.4427,0.8871,0.6608,0.5186
262,77164,786.4,500,66.4,0.5311,0.157,0.4693,0.8345,0.6488,0.4255
263,77664,977.19,500,83.2,0.6048,0.148,0.4414,0.9278,0.6484,0.5462
264,78164,883.91,500,74.4,0.549,0.1263,0.4639,0.9136,0.6963,0.414
265,78664,1072.88,500,90.2,0.502,0.1206,0.469,0.8397,0.9057,0.4983
266,79164,1203.32,500,94.4,0.4674,0.1169,0.4768,0.9092,1.0639,0.4895
267,79511,743.01,347,90.5,0.526,0.148,0.4632,0.8442,0.8422,0.5788
268,79957,1009.5,446,86.5,0.4305,0.1483,0.4793,0.8374,1.0308,0.5522
269,80457,836.66,500,71.4,0.4603,0.1313,0.4665,0.7182,0.8184,0.4227
270,80957,724.15,500,56.4,0.5157,0.1455,0.4252,0.9614,0.5615,0.3614
271,81444,589.75,487,67.1,0.6574,0.1061,0.4905,0.7683,0.4667,0.3251
272,81834,640.2,390,74.6,0.5578,0.1348,0.4571,0.8005,0.6701,0.4505
273,82334,1150.33,500,82.6,0.365,0.1389,0.4616,0.8542,1.1225,0.498
274,82800,834.63,466,66.7,0.4117,0.1653,0.4505,0.809,0.8616,0.4746
275,83300,535.43,500,45.2,0.5445,0.155,0.423,0.8866,0.4163,0.316
276,83800,526.67,500,44.6,0.5427,0.1566,0.4406,0.8767,0.4116,0.3191
277,84300,594.38,500,49.0,0.515,0.1458,0.4367,0.8839,0.4933,0.3216
278,84800,793.96,500,55.8,0.4041,0.1713,0.3981,0.9203,0.7024,0.4072
279,85300,1234.13,500,85.4,0.4088,0.1572,0.4238,0.9513,1.0661,0.5968
280,85800,1531.73,500,100.0,0.4187,0.2584,0.4043,0.9902,1.1684,0.9048
281,86300,1714.78,500,100.0,0.2974,0.2523,0.4038,0.9781,1.4841,0.9674
282,86800,1732.92,500,100.0,0.2604,0.1992,0.4206,0.9882,1.5881,0.8895
283,87300,1528.83,500,100.0,0.4303,0.2069,0.415,0.9873,1.1535,0.9169
284,87800,1685.04,500,100.0,0.3,0.2071,0.4102,0.9849,1.4766,0.9086
285,88300,1342.53,500,89.6,0.3671,0.1996,0.4702,0.8648,1.2122,0.712
286,88800,1672.68,500,100.0,0.3102,0.2016,0.4101,0.9913,1.467,0.8871
287,89300,1582.74,500,100.0,0.3925,0.2197,0.4045,0.9898,1.2472,0.9285
288,89800,1550.86,500,97.4,0.3619,0.1945,0.4248,0.9782,1.3207,0.8288
289,90300,1698.34,500,100.0,0.3013,0.2166,0.4043,0.9871,1.4802,0.9294
290,90800,1573.53,500,96.2,0.314,0.1874,0.4256,0.9765,1.4108,0.7978
291,91288,1175.1,488,86.9,0.3461,0.1742,0.492,0.7628,1.2121,0.5847
292,91788,1458.02,500,100.0,0.4697,0.1956,0.4254,0.9739,1.1029,0.8393
293,92235,717.13,447,58.2,0.3794,0.2275,0.4885,0.7613,0.7672,0.5165
294,92735,1366.12,500,84.8,0.334,0.2433,0.4322,0.934,1.2078,0.7424
295,93223,873.91,488,68.6,0.4169,0.1922,0.4958,0.7326,0.8344,0.5577
296,93610,729.04,387,64.9,0.3152,0.2353,0.4672,0.6937,0.9557,0.6116
297,94110,1030.85,500,69.6,0.3426,0.2063,0.4603,0.7714,0.97,0.6243
298,94604,1244.83,494,83.4,0.3621,0.2166,0.4314,0.8235,1.1039,0.7787
299,95104,1650.8,500,95.6,0.2421,0.1948,0.4172,0.9506,1.5586,0.8364
300,95604,1577.85,500,100.0,0.3604,0.1937,0.4042,0.9851,1.3222,0.8484
301,96104,917.37,500,63.2,0.3103,0.1827,0.452,0.7345,0.9565,0.5117
302,96604,1113.01,500,75.2,0.3733,0.2088,0.4574,0.8301,1.0098,0.6341
303,97104,1448.97,500,100.0,0.4839,0.2145,0.4068,0.9863,0.9983,0.9133
304,97604,1292.08,500,80.8,0.2974,0.1737,0.4407,0.9119,1.2245,0.6398
305,98104,1588.34,500,100.0,0.3454,0.1856,0.4412,0.9773,1.3645,0.835
306,98604,1628.74,500,100.0,0.3058,0.1818,0.42,0.9814,1.4635,0.8126
307,99104,1027.69,500,69.4,0.3229,0.1849,0.458,0.7869,1.0131,0.5614
308,99509,845.47,405,72.8,0.384,0.2186,0.4674,0.7884,0.9899,0.6056
309,100009,1682.91,500,100.0,0.2481,0.1694,0.4284,0.9838,1.6159,0.7661
310,100509,1711.01,500,100.0,0.3178,0.2455,0.4268,0.9846,1.4514,0.986
311,101009,1629.99,500,100.0,0.3322,0.1904,0.4274,0.9729,1.431,0.8561
