episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,r_stability,r_centering,r_scale
312,101509,1630.86,500,100.0,0.3239,0.1859,0.4243,0.9822,1.4297,0.8498
313,102009,1318.2,500,88.0,0.4085,0.1975,0.4253,0.956,1.0982,0.7022
314,102509,1618.07,500,100.0,0.3519,0.2178,0.4308,0.9802,1.3572,0.8988
315,103009,1514.39,500,100.0,0.3931,0.2058,0.4297,0.9756,1.2304,0.8227
316,103509,1538.4,500,100.0,0.4058,0.2259,0.4175,0.9818,1.2042,0.8908
317,104009,1521.34,500,100.0,0.2601,0.1011,0.4083,0.9919,1.6177,0.433
318,104509,1597.53,500,100.0,0.3851,0.2375,0.4536,0.9728,1.2736,0.9486
319,105009,1687.06,500,100.0,0.2833,0.2645,0.4198,0.9885,1.5261,0.8596
320,105509,1611.31,500,100.0,0.3022,0.1898,0.4268,0.9819,1.4717,0.769
321,106009,1459.75,500,100.0,0.467,0.2405,0.4436,0.9726,1.073,0.874
322,106509,1169.52,500,94.0,0.5885,0.1734,0.4276,0.9672,0.7508,0.6811
323,107009,1153.4,500,88.2,0.5387,0.1897,0.4227,0.9506,0.7815,0.6926
324,107509,1026.37,500,83.2,0.5933,0.1894,0.4558,0.9093,0.6421,0.6693
325,108009,1282.26,500,94.0,0.4013,0.1117,0.4199,0.9757,1.2136,0.4352
326,108509,1151.78,500,100.0,0.6962,0.1558,0.411,0.9844,0.6855,0.6337
327,109009,1083.15,500,89.6,0.5044,0.095,0.4143,0.9812,0.9358,0.3533
328,109509,1064.77,500,83.8,0.4867,0.1204,0.4313,0.9788,0.9058,0.407
329,110009,1450.55,500,89.4,0.3364,0.2385,0.4308,0.9736,1.2614,0.772
330,110509,1200.71,500,85.6,0.4633,0.1854,0.4312,0.956,0.9912,0.5982
331,111009,1126.39,500,83.6,0.3648,0.086,0.4451,0.9729,1.1217,0.3223
332,111509,1071.01,500,80.4,0.4927,0.1752,0.4467,0.944,0.8655,0.5285
333,112009,816.55,500,72.4,0.5066,0.0606,0.4717,0.9787,0.7226,0.2078
334,112509,1052.62,500,75.0,0.3136,0.1024,0.4402,0.9545,1.0914,0.3094
335,113009,822.94,500,57.2,0.2656,0.0791,0.4704,0.9873,0.8889,0.1977
336,113509,1279.46,500,87.2,0.2622,0.0954,0.4218,0.9737,1.3613,0.352
337,114009,896.17,500,60.4,0.2671,0.1054,0.4233,0.9828,0.952,0.2535
338,114509,1298.02,500,92.8,0.4492,0.1911,0.4292,0.9808,1.0101,0.6772
339,115009,589.12,500,35.6,0.1361,0.1112,0.3999,0.9919,0.6653,0.1651
340,115509,875.66,500,88.0,0.7156,0.1016,0.4591,0.9867,0.5102,0.3744
341,116009,1668.97,500,100.0,0.3141,0.2061,0.4228,0.9949,1.4391,0.904
342,116443,575.77,434,55.5,0.4934,0.187,0.4841,0.8556,0.5618,0.3771
343,116943,1290.32,500,95.2,0.5171,0.1678,0.4226,0.9875,0.9677,0.6734
344,117443,1440.42,500,100.0,0.4648,0.1801,0.42,0.9876,1.0961,0.7971
345,117943,1324.98,500,100.0,0.4702,0.1472,0.4405,0.9592,1.0844,0.6063
346,118443,1375.6,500,100.0,0.5064,0.1846,0.4184,0.9858,0.9501,0.8153
347,118943,1246.95,500,100.0,0.6191,0.1882,0.4115,0.9863,0.7127,0.7949
348,119443,1217.87,500,100.0,0.6178,0.1757,0.417,0.987,0.6935,0.7553
349,119943,1183.0,500,100.0,0.6254,0.1513,0.4152,0.9721,0.743,0.6509
350,120443,1095.46,500,100.0,0.6728,0.1218,0.4178,0.9601,0.688,0.5429
351,120871,732.55,428,77.1,0.5765,0.1518,0.4354,0.803,0.6462,0.5147
352,121371,1511.26,500,100.0,0.4028,0.1991,0.4148,0.9809,1.2091,0.8324
353,121871,879.67,500,80.6,0.6907,0.1394,0.4238,0.9637,0.4996,0.49
354,122371,1110.59,500,77.0,0.4036,0.1799,0.4256,0.9071,0.9358,0.6083
355,122802,706.37,431,67.7,0.537,0.1681,0.4265,0.8907,0.6339,0.46
356,123302,1633.72,500,100.0,0.3379,0.201,0.4107,0.9896,1.3802,0.8976
357,123802,1036.25,500,83.0,0.5464,0.1505,0.444,0.913,0.7745,0.555
358,124302,1505.96,500,100.0,0.4116,0.1809,0.4166,0.9944,1.1989,0.8186
359,124802,1639.69,500,100.0,0.3277,0.1867,0.3985,0.9947,1.4319,0.8529
360,125302,1043.93,500,76.8,0.4571,0.1736,0.4534,0.883,0.8493,0.5875
361,125802,1256.88,500,98.6,0.5689,0.1537,0.419,0.9607,0.8857,0.6814
362,126302,1799.06,500,100.0,0.2111,0.2014,0.4103,0.9873,1.7062,0.9046
363,126802,1305.93,500,100.0,0.5603,0.17,0.3833,0.9775,0.8775,0.7569
364,127302,1080.29,500,100.0,0.6869,0.1267,0.3822,0.9853,0.6099,0.5655
365,127802,1261.58,500,89.4,0.451,0.1663,0.4145,0.9742,0.9863,0.6687
366,128302,1316.92,500,100.0,0.5403,0.1684,0.387,0.9822,0.8975,0.7542
367,128802,1740.71,500,100.0,0.1971,0.1602,0.4005,0.9939,1.7597,0.7279
368,129302,1232.51,500,100.0,0.5706,0.1351,0.3852,0.9932,0.8647,0.607
369,129802,1846.26,500,100.0,0.1233,0.1747,0.4066,0.9956,1.8998,0.7971
370,130302,1254.3,500,100.0,0.5537,0.1298,0.3838,0.991,0.934,0.5837
371,130802,1689.45,500,100.0,0.2627,0.1734,0.3884,0.9867,1.5981,0.7941
372,131302,1687.62,500,100.0,0.2545,0.17,0.4169,0.9942,1.6122,0.7688
373,131802,1754.05,500,100.0,0.2085,0.1685,0.3906,0.9964,1.7434,0.7683
374,132302,1145.98,500,88.6,0.5661,0.1667,0.3995,0.9656,0.7927,0.6477
375,132802,1726.5,500,100.0,0.2757,0.1993,0.3827,0.986,1.5718,0.8952
376,133302,1291.31,500,97.8,0.5388,0.1557,0.3821,0.984,0.9493,0.6713
377,133802,1786.79,500,100.0,0.1904,0.1762,0.3863,0.995,1.7782,0.8004
378,134302,1144.54,500,89.2,0.5661,0.1387,0.392,0.9777,0.8628,0.5565
379,134802,1840.17,500,100.0,0.1979,0.2105,0.3937,0.9919,1.7572,0.9312
380,135302,1725.38,500,100.0,0.246,0.1845,0.4018,0.9944,1.6221,0.8342
381,135802,1122.31,500,79.2,0.472,0.1619,0.4146,0.9784,0.8983,0.5759
382,136302,1712.73,500,100.0,0.2283,0.167,0.3978,0.996,1.6735,0.756
383,136802,1560.07,500,100.0,0.3756,0.191,0.3954,0.9952,1.2706,0.8544
384,137302,1552.81,500,100.0,0.3952,0.1985,0.404,0.9957,1.2226,0.8873
385,137802,1209.22,500,78.8,0.4013,0.1915,0.4222,0.974,1.0269,0.6295
386,138302,1665.47,500,100.0,0.3149,0.194,0.3807,0.9959,1.4663,0.8687
387,138802,1697.94,500,100.0,0.3075,0.2103,0.3873,0.9959,1.4795,0.9205
388,139302,933.22,500,67.6,0.5331,0.1793,0.4407,0.9538,0.7115,0.5252
389,139802,1780.94,500,100.0,0.2432,0.2177,0.3935,0.9944,1.6262,0.9413
390,140302,1833.61,500,100.0,0.192,0.2073,0.3965,0.9963,1.7584,0.9126
391,140802,1161.49,500,80.4,0.4801,0.1719,0.4222,0.9734,0.9274,0.6182
392,141302,1616.07,500,100.0,0.3642,0.2091,0.4007,0.9943,1.3192,0.9186
393,141802,1806.93,500,100.0,0.238,0.248,0.3946,0.9933,1.6504,0.9702
394,142302,1664.37,500,100.0,0.3221,0.2068,0.3924,0.9954,1.4241,0.9092
395,142802,1125.79,500,78.2,0.4499,0.1823,0.4361,0.9318,0.905,0.6328
396,143302,851.35,500,76.2,0.6947,0.1401,0.4413,0.9635,0.5117,0.4655
397,143802,1541.56,500,100.0,0.4309,0.2389,0.4002,0.9923,1.1434,0.9474
398,144302,720.97,500,65.0,0.7352,0.1327,0.4554,0.9603,0.4478,0.3838
399,144802,1901.85,500,100.0,0.165,0.2594,0.4117,0.9957,1.8269,0.9812
400,145302,1632.78,500,100.0,0.3539,0.2129,0.4102,0.9941,1.3418,0.9296
401,145802,1273.26,500,96.8,0.5751,0.1923,0.4363,0.9878,0.7996,0.7911
402,146302,1631.34,500,100.0,0.3435,0.2068,0.4038,0.9939,1.3596,0.9092
403,146802,1356.94,500,82.2,0.3399,0.2502,0.4193,0.9702,1.1567,0.7649
404,147126,573.22,324,74.7,0.5761,0.1992,0.4674,0.8055,0.6437,0.6039
405,147626,1693.6,500,100.0,0.3279,0.2389,0.42,0.991,1.4179,0.9782
406,148126,883.25,500,61.4,0.4172,0.1894,0.4178,0.9648,0.7463,0.4414
407,148626,1615.34,500,100.0,0.3756,0.2257,0.4103,0.9934,1.2852,0.952
408,149126,1432.32,500,100.0,0.4632,0.1814,0.4114,0.99,1.071,0.8037
409,149626,752.85,500,52.2,0.4831,0.197,0.4229,0.9678,0.5998,0.4161
410,150126,690.63,500,41.0,0.304,0.2327,0.3994,0.9678,0.6196,0.3838
411,150626,1736.22,500,100.0,0.2549,0.2044,0.3998,0.9934,1.5817,0.8973
412,151126,1750.84,500,100.0,0.279,0.2289,0.4145,0.9903,1.5472,0.9642
413,151626,1397.33,500,100.0,0.5323,0.2251,0.3912,0.9864,0.9221,0.8862
414,152126,1494.52,500,100.0,0.4575,0.2413,0.3986,0.9889,1.1102,0.89
415,152626,1191.76,500,100.0,0.6275,0.1419,0.4103,0.9891,0.7744,0.62
416,153126,1238.02,500,70.8,0.2216,0.2713,0.4154,0.9681,1.1765,0.6234
417,153626,786.32,500,45.8,0.2823,0.2398,0.4099,0.9773,0.7011,0.4362
418,154126,1783.13,500,100.0,0.2478,0.2157,0.4329,0.994,1.6314,0.9408
419,154626,1197.37,500,88.6,0.5366,0.1864,0.4058,0.9847,0.8086,0.7154
420,155126,1562.27,500,100.0,0.3687,0.1812,0.4088,0.9844,1.3335,0.8067
421,155626,1249.13,500,100.0,0.6242,0.1822,0.4046,0.9907,0.7392,0.7684
422,156126,901.89,500,85.6,0.7515,0.1244,0.394,0.9776,0.5001,0.4701
423,156626,1586.28,500,100.0,0.398,0.2545,0.4256,0.9938,1.227,0.9518
424,157126,761.07,500,74.6,0.7767,0.1122,0.3878,0.9719,0.4366,0.3676
425,157626,991.05,500,77.0,0.5758,0.1431,0.3802,0.967,0.757,0.4882
426,158126,1022.02,500,92.2,0.6799,0.1262,0.3876,0.9826,0.6239,0.5156
427,158626,1316.93,500,100.0,0.5743,0.1985,0.382,0.986,0.8114,0.8364
428,159126,740.53,500,71.2,0.7267,0.1225,0.3924,0.9464,0.4398,0.3829
429,159626,1339.44,500,100.0,0.5392,0.1747,0.3874,0.9909,0.9218,0.7663
430,160126,1380.36,500,100.0,0.5112,0.1757,0.3868,0.9913,1.0028,0.7666
431,160626,1698.7,500,100.0,0.3013,0.212,0.4089,0.9945,1.4763,0.9266
432,161126,1137.73,500,94.6,0.6268,0.1501,0.3938,0.9823,0.7417,0.6055
433,161626,1048.34,500,79.4,0.544,0.1738,0.3916,0.9649,0.7835,0.5543
434,162126,896.37,500,75.8,0.6311,0.1527,0.4038,0.9629,0.6133,0.4586
435,162626,822.43,500,72.2,0.6393,0.1458,0.4158,0.9771,0.4946,0.4512
436,163126,823.74,500,70.2,0.6302,0.1506,0.4105,0.9667,0.5644,0.4143
437,163626,1063.52,500,84.8,0.5862,0.1646,0.4111,0.973,0.7398,0.5663
438,164126,987.61,500,86.2,0.6458,0.1503,0.4005,0.9743,0.5985,0.5404
439,164626,532.88,500,51.6,0.6835,0.1321,0.4108,0.9744,0.3033,0.272
440,165126,1128.14,500,100.0,0.6943,0.1667,0.4057,0.9862,0.5901,0.6799
441,165626,1094.22,500,94.6,0.6411,0.1628,0.4038,0.982,0.5789,0.6816
442,166126,734.08,500,67.4,0.712,0.1627,0.4098,0.9746,0.3755,0.4441
443,166626,714.05,500,54.0,0.4428,0.1482,0.394,0.9741,0.6248,0.2891
444,167126,666.0,500,50.8,0.4483,0.143,0.3743,0.9785,0.5952,0.2503
445,167626,980.8,500,79.4,0.5969,0.1759,0.4015,0.9659,0.645,0.5567
446,168126,788.14,500,61.2,0.5731,0.1996,0.4121,0.9647,0.5338,0.4658
447,168626,839.59,500,75.0,0.6695,0.1608,0.4026,0.9484,0.4605,0.5203
448,169126,659.09,500,60.2,0.662,0.1562,0.4092,0.9575,0.3625,0.3962
449,169626,898.84,500,69.6,0.5698,0.1923,0.4122,0.9616,0.5959,0.5443
450,170126,633.4,500,56.6,0.6922,0.1668,0.4226,0.9449,0.3468,0.4091
451,170626,628.6,500,60.2,0.7066,0.1301,0.4175,0.9716,0.3328,0.3508
452,171126,1415.53,500,100.0,0.5031,0.2226,0.4051,0.9918,0.9463,0.893
453,171626,1023.33,500,80.2,0.5803,0.1842,0.4381,0.9819,0.6574,0.6053
454,172126,785.66,500,48.0,0.3374,0.2245,0.4004,0.986,0.6828,0.4225
455,172626,419.0,500,30.0,0.4618,0.2209,0.3812,0.9542,0.3249,0.2589
456,173126,1624.14,500,100.0,0.3629,0.2294,0.3905,0.994,1.3222,0.9321
457,173626,893.95,500,68.4,0.5172,0.1837,0.4387,0.958,0.6869,0.459
458,174126,1461.92,500,99.0,0.4436,0.2424,0.4039,0.9858,1.1018,0.8463
459,174626,801.95,500,49.4,0.351,0.2478,0.3949,0.9816,0.6739,0.4545
460,175126,1559.91,500,99.4,0.392,0.2213,0.4032,0.9849,1.2701,0.8709
461,175626,814.33,500,57.2,0.4781,0.2251,0.3988,0.9731,0.6129,0.4706
462,176126,535.2,500,39.6,0.4989,0.1941,0.4559,0.9661,0.3867,0.3217
463,176626,1834.3,500,100.0,0.1923,0.2733,0.404,0.9965,1.7749,0.8972
464,177126,1884.69,500,100.0,0.1714,0.2332,0.4274,0.9967,1.8263,0.9464
465,177626,1885.94,500,100.0,0.1203,0.2285,0.4326,0.9968,1.9016,0.8736
466,178126,1796.07,500,100.0,0.229,0.2112,0.3944,0.9954,1.6848,0.9119
467,178626,806.7,500,61.0,0.5385,0.1747,0.4281,0.9792,0.5551,0.4691
468,179126,1811.29,500,100.0,0.2331,0.2241,0.4289,0.9932,1.6723,0.9571
469,179626,1900.9,500,100.0,0.0924,0.2814,0.418,0.9961,1.9365,0.8692
470,180126,1814.0,500,100.0,0.2437,0.2465,0.4046,0.9944,1.6439,0.9897
471,180626,1843.41,500,100.0,0.1724,0.2014,0.4024,0.9954,1.8107,0.8807
472,181126,1798.01,500,100.0,0.2298,0.2061,0.402,0.9955,1.6957,0.9048
473,181626,1614.0,500,100.0,0.3333,0.281,0.4046,0.9938,1.3954,0.8388
474,182126,1744.77,500,100.0,0.2629,0.2044,0.4059,0.9942,1.5924,0.903
475,182626,1917.66,500,100.0,0.0961,0.2046,0.4105,0.9967,1.9375,0.901
476,183126,1931.24,500,100.0,0.0733,0.2071,0.4005,0.9969,1.958,0.9075
477,183626,1743.28,500,100.0,0.2175,0.2863,0.4177,0.9925,1.6662,0.8278
478,184126,1796.48,500,100.0,0.2348,0.2344,0.4101,0.9905,1.6316,0.9709
479,184626,1884.89,500,100.0,0.1716,0.2585,0.4056,0.9955,1.8017,0.9725
480,185126,1899.42,500,100.0,0.0994,0.1984,0.4179,0.9962,1.9247,0.8779
481,185626,1766.82,500,100.0,0.2174,0.2852,0.4205,0.9949,1.7013,0.8374
482,186126,1833.93,500,100.0,0.2171,0.2325,0.4134,0.9927,1.7014,0.9737
483,186626,1765.79,500,100.0,0.2676,0.2515,0.3957,0.9909,1.557,0.9837
484,187126,1949.06,500,100.0,0.1026,0.2508,0.4338,0.9963,1.9253,0.9765
485,187626,1755.75,500,100.0,0.2474,0.1979,0.3795,0.9943,1.6314,0.8859
486,188126,1814.24,500,100.0,0.2074,0.2,0.3783,0.9969,1.7373,0.8943
487,188626,1887.72,500,100.0,0.1158,0.193,0.3873,0.9967,1.9147,0.864
488,189126,1520.99,500,100.0,0.3928,0.1802,0.3946,0.9866,1.2643,0.7911
489,189626,1933.79,500,100.0,0.1032,0.2166,0.4111,0.997,1.9297,0.9409
490,190126,1909.55,500,100.0,0.1216,0.2088,0.4167,0.997,1.9068,0.9153
491,190626,1895.6,500,100.0,0.1685,0.2309,0.408,0.9969,1.828,0.9662
492,191126,1753.8,500,100.0,0.2637,0.2112,0.3893,0.9962,1.5872,0.9242
493,191626,1879.23,500,100.0,0.1035,0.1867,0.4116,0.9972,1.9215,0.8398
494,192126,1586.68,500,100.0,0.3439,0.1836,0.4026,0.9904,1.3735,0.8094
495,192626,1892.41,500,100.0,0.14,0.2082,0.4075,0.997,1.8718,0.916
496,193126,1914.82,500,100.0,0.1229,0.2222,0.4102,0.9966,1.8875,0.9455
497,193626,1867.54,500,100.0,0.1871,0.2197,0.4133,0.9968,1.7838,0.9546
498,194126,1854.97,500,100.0,0.1788,0.2074,0.4137,0.9965,1.8004,0.9131
499,194626,1957.88,500,100.0,0.0773,0.2318,0.4149,0.9967,1.9515,0.9676
500,195126,1915.52,500,100.0,0.129,0.2227,0.4129,0.9969,1.8885,0.9456
501,195626,1858.04,500,100.0,0.1765,0.2078,0.3904,0.9973,1.801,0.9178
502,196126,1678.78,500,100.0,0.312,0.2221,0.3817,0.997,1.447,0.9135
503,196626,1676.32,500,100.0,0.3044,0.2367,0.406,0.985,1.4678,0.8998
504,197126,1906.43,500,100.0,0.1089,0.2073,0.4215,0.9964,1.9044,0.912
505,197626,1895.74,500,100.0,0.1351,0.214,0.4,0.996,1.8693,0.9262
506,198126,1851.19,500,100.0,0.1833,0.2219,0.3955,0.9968,1.7952,0.9103
507,198626,1524.87,500,99.6,0.3981,0.1921,0.4263,0.9592,1.2726,0.8219
508,199126,1729.77,500,100.0,0.2128,0.1747,0.428,0.9943,1.6812,0.784
509,199626,1574.27,500,91.4,0.2665,0.2009,0.4192,0.9916,1.4428,0.8001
