episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_alive_sum,r_track_sum,r_invis_sum,r_jerk_sum,phase,alpha,target_speed,jitter_xy,term_reason
103,6795,-80.36,100,0.0,0,0.5294,0.664,50.0,0.0,-5.0,-105.359,A,0.268,0.0,0.074,lost_target
104,6895,-81.94,100,0.0,0,0.5216,0.6462,50.0,0.0,-5.0,-106.936,A,0.269,0.0,0.075,lost_target
105,6995,-72.23,100,0.0,0,0.5239,0.6288,50.0,0.0,-5.0,-97.23,A,0.27,0.0,0.075,lost_target
106,7095,-78.15,100,0.0,0,0.5194,0.6613,50.0,0.0,-5.0,-103.147,A,0.271,0.0,0.075,lost_target
107,7195,-88.01,100,0.0,0,0.5305,0.6891,50.0,0.0,-5.0,-113.014,A,0.272,0.0,0.076,lost_target
108,7295,-86.88,100,0.0,0,0.5487,0.6813,50.0,0.0,-5.0,-111.883,A,0.273,0.0,0.076,lost_target
109,7395,-73.67,100,0.0,0,0.5232,0.6455,50.0,0.0,-5.0,-98.67,A,0.274,0.0,0.076,lost_target
110,7495,-57.25,100,0.0,0,0.5433,0.5642,50.0,0.0,-5.0,-82.253,A,0.275,0.0,0.077,lost_target
111,7595,-60.26,100,0.0,0,0.5335,0.5889,50.0,0.0,-5.0,-85.256,A,0.276,0.0,0.077,lost_target
112,7695,-60.43,100,0.0,0,0.5099,0.5877,50.0,0.0,-5.0,-85.435,A,0.277,0.0,0.077,lost_target
113,7795,-68.8,100,0.0,0,0.4828,0.6292,50.0,0.0,-5.0,-93.803,A,0.278,0.0,0.078,lost_target
114,7895,-65.17,100,0.0,0,0.5143,0.6031,50.0,0.0,-5.0,-90.173,A,0.279,0.0,0.078,lost_target
115,7995,-72.11,100,0.0,0,0.5356,0.6308,50.0,0.0,-5.0,-97.11,A,0.28,0.0,0.079,lost_target
116,8095,-71.35,100,0.0,0,0.506,0.6314,50.0,0.0,-5.0,-96.354,A,0.281,0.0,0.079,lost_target
117,8195,-74.17,100,0.0,0,0.5208,0.6491,50.0,0.0,-5.0,-99.172,A,0.282,0.0,0.079,lost_target
118,8295,-59.44,100,0.0,0,0.5064,0.5919,50.0,0.0,-5.0,-84.44,A,0.283,0.0,0.08,lost_target
119,8395,-56.57,100,0.0,0,0.524,0.5822,50.0,0.0,-5.0,-81.572,A,0.284,0.0,0.08,lost_target
120,8495,-61.86,100,0.0,0,0.5288,0.5771,50.0,0.0,-5.0,-86.856,A,0.285,0.0,0.08,lost_target
121,8595,-69.8,100,0.0,0,0.5046,0.6222,50.0,0.0,-5.0,-94.798,A,0.286,0.0,0.081,lost_target
