episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,r_stability,r_centering,r_scale,phase,target_offset,init_pos,init_vel,init_ang
1,113,173.36,113,3.5,0.4223,0.26,0.5109,0.5911,0.0487,0.0349,0,0.0,0.3,0.15,0.05
2,316,165.12,203,0.0,0.0,0.0,0.5045,0.3908,0.0,0.0,0,0.0,0.301,0.151,0.05
3,376,99.82,60,0.0,0.0,0.0,0.4929,0.5385,0.0,0.0,0,0.0,0.301,0.151,0.05
4,479,93.25,103,0.0,0.0,0.0,0.4995,0.3312,0.0,0.0,0,0.0,0.301,0.151,0.05
5,595,203.8,116,0.0,0.0,0.0,0.5033,0.6296,0.0,0.0,0,0.0,0.301,0.151,0.05
6,655,92.52,60,0.0,0.0,0.0,0.4976,0.5066,0.0,0.0,0,0.0,0.301,0.151,0.051
7,715,80.6,60,0.0,0.0,0.0,0.483,0.4503,0.0,0.0,0,0.0,0.301,0.151,0.051
8,827,152.69,112,0.0,0.0,0.0,0.5236,0.5688,0.0,0.0,0,0.0,0.301,0.151,0.051
9,942,111.43,115,0.0,0.0,0.0,0.4973,0.3996,0.0,0.0,0,0.0,0.302,0.152,0.051
10,1074,88.88,132,0.0,0.0,0.0,0.4888,0.2572,0.0,0.0,0,0.0,0.302,0.152,0.051
11,1152,156.35,78,0.0,0.0,0.0,0.501,0.5943,0.0,0.0,0,0.0,0.302,0.152,0.051
12,1230,80.83,78,0.0,0.0,0.0,0.4727,0.3193,0.0,0.0,0,0.0,0.302,0.152,0.051
13,1328,123.35,98,0.0,0.0,0.0,0.4872,0.5192,0.0,0.0,0,0.0,0.302,0.152,0.051
14,1468,97.02,140,0.0,0.0,0.0,0.5058,0.2775,0.0,0.0,0,0.0,0.302,0.152,0.051
15,1545,88.62,77,0.0,0.0,0.0,0.5159,0.3871,0.0,0.0,0,0.0,0.303,0.153,0.051
16,1721,153.1,176,0.0,0.0,0.0,0.4833,0.4395,0.0,0.0,0,0.0,0.303,0.153,0.051
17,1823,154.05,102,0.0,0.0,0.0,0.4946,0.6229,0.0,0.0,0,0.0,0.303,0.153,0.052
18,1893,91.64,70,0.0,0.0,0.0,0.5108,0.4477,0.0,0.0,0,0.0,0.303,0.153,0.052
19,2035,106.4,142,0.0,0.0,0.0,0.5054,0.3704,0.0,0.0,0,0.0,0.303,0.153,0.052
20,2130,120.97,95,0.0,0.0,0.0,0.4938,0.4235,0.0,0.0,0,0.0,0.304,0.154,0.052
21,2289,151.29,159,0.0,0.0,0.0,0.4943,0.4737,0.0,0.0,0,0.0,0.304,0.154,0.052
22,2450,126.46,161,0.0,0.0,0.0,0.5005,0.3673,0.0,0.0,0,0.0,0.304,0.154,0.052
23,2514,77.27,64,0.0,0.0,0.0,0.5134,0.4746,0.0,0.0,0,0.0,0.304,0.154,0.052
24,2622,164.23,108,0.0,0.0,0.0,0.5083,0.6596,0.0,0.0,0,0.0,0.304,0.154,0.052
25,2792,195.78,170,0.0,0.0,0.0,0.4963,0.4923,0.0,0.0,0,0.0,0.305,0.155,0.052
26,2915,92.56,123,0.0,0.0,0.0,0.5013,0.2673,0.0,0.0,0,0.0,0.305,0.155,0.052
27,3041,199.38,126,0.0,0.0,0.0,0.4856,0.5485,0.0,0.0,0,0.0,0.305,0.155,0.053
28,3098,72.17,57,0.0,0.0,0.0,0.4933,0.4346,0.0,0.0,0,0.0,0.305,0.155,0.053
29,3163,79.61,65,0.0,0.0,0.0,0.4726,0.4154,0.0,0.0,0,0.0,0.305,0.155,0.053
30,3253,155.73,90,0.0,0.0,0.0,0.4924,0.5884,0.0,0.0,0,0.0,0.305,0.155,0.053
31,3307,65.03,54,0.0,0.0,0.0,0.5039,0.3602,0.0,0.0,0,0.0,0.306,0.156,0.053
32,3358,82.61,51,0.0,0.0,0.0,0.5269,0.4502,0.0,0.0,0,0.0,0.306,0.156,0.053
33,3431,114.8,73,0.0,0.0,0.0,0.5036,0.5606,0.0,0.0,0,0.0,0.306,0.156,0.053
34,3577,130.95,146,0.0,0.0,0.0,0.4778,0.4565,0.0,0.0,0,0.0,0.306,0.156,0.053
35,3653,87.58,76,0.0,0.0,0.0,0.5217,0.4373,0.0,0.0,0,0.0,0.306,0.156,0.053
36,3706,83.54,53,0.0,0.0,0.0,0.4963,0.4806,0.0,0.0,0,0.0,0.306,0.156,0.053
37,3828,221.69,122,0.0,0.0,0.0,0.5045,0.6086,0.0,0.0,0,0.0,0.306,0.156,0.053
38,3903,77.51,75,0.0,0.0,0.0,0.5003,0.423,0.0,0.0,0,0.0,0.306,0.157,0.053
39,3962,75.1,59,0.0,0.0,0.0,0.5155,0.4501,0.0,0.0,0,0.0,0.307,0.157,0.053
40,4053,106.68,91,0.0,0.0,0.0,0.5331,0.4065,0.0,0.0,0,0.0,0.307,0.157,0.053
41,4128,95.92,75,0.0,0.0,0.0,0.4991,0.4169,0.0,0.0,0,0.0,0.307,0.157,0.053
42,4207,79.04,79,0.0,0.0,0.0,0.4896,0.3818,0.0,0.0,0,0.0,0.307,0.157,0.054
43,4361,150.0,154,0.0,0.0,0.0,0.5265,0.4319,0.0,0.0,0,0.0,0.307,0.157,0.054
44,4423,76.23,62,0.0,0.0,0.0,0.4883,0.3911,0.0,0.0,0,0.0,0.307,0.157,0.054
45,4593,142.66,170,0.0,0.0,0.0,0.4978,0.4202,0.0,0.0,0,0.0,0.308,0.158,0.054
