tier,episode,target_speed,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
fast,15,0.4,26,True,-1.5,80.8,0.9727,0.0938,0.7702,0.1932,0.5453,0.0369,0.3496,0.1732,-0.218,250000
slow,1,0.1,19,True,-17.8,0.0,0.0,0.0,0.7511,0.0978,0.5373,0.0,0.0,0.4629,-0.1423,350000
slow,2,0.1,19,True,-17.22,0.0,0.0,0.0,0.6605,0.0938,0.5414,0.0,0.0,0.4754,-0.1261,350000
slow,3,0.1,17,True,-1.37,82.4,1.0093,0.04897,0.7066,0.1122,0.4234,0.021,0.2087,0.4492,-0.1286,350000
slow,4,0.1,26,True,-22.64,0.0,0.0,0.0,0.6669,0.1839,0.4373,0.0,0.0,0.4439,-0.1487,350000
slow,5,0.1,51,True,-22.45,0.0,0.0,0.0,0.3925,0.0776,0.7727,0.0,0.0,0.4321,-0.0626,350000
medium,6,0.25,23,True,-18.32,4.3,1.1536,0.00684,0.6678,0.0972,0.6125,0.0001,0.0056,0.3964,-0.108,350000
medium,7,0.25,26,True,-21.96,0.0,0.0,0.0,0.5542,0.125,0.55,0.0,0.0,0.3697,-0.1045,350000
medium,8,0.25,442,True,584.43,86.9,0.7363,0.18319,0.3851,0.3106,0.9343,0.4664,0.6571,0.2909,-0.3514,350000
medium,9,0.25,20,True,-19.33,0.0,0.0,0.0,0.6645,0.1407,0.5071,0.0,0.0,0.4361,-0.1563,350000
medium,10,0.25,15,True,-16.6,0.0,0.0,0.0,0.7231,0.1185,0.4399,0.0,0.0,0.4732,-0.133,350000
fast,11,0.4,127,True,-31.67,0.8,1.3288,0.00293,0.2139,0.0358,0.9086,0.0,0.0009,0.3749,-0.0078,350000
fast,12,0.4,17,True,0.72,94.1,0.8563,0.09729,0.6617,0.0905,0.4616,0.0712,0.4236,0.2883,-0.1022,350000
fast,13,0.4,20,True,-0.02,80.0,1.0281,0.06183,0.6668,0.116,0.5063,0.006,0.238,0.3144,-0.0316,350000
fast,14,0.4,49,True,-19.1,6.1,1.0668,0.01562,0.4474,0.0726,0.7697,0.0004,0.0091,0.4295,-0.0615,350000
fast,15,0.4,24,True,0.75,83.3,0.971,0.09814,0.8086,0.1697,0.5698,0.0418,0.3744,0.1821,-0.1686,350000
slow,1,0.1,41,True,-21.2,0.0,0.0,0.0,0.473,0.122,0.7319,0.0,0.0,0.4509,-0.09,500000
slow,2,0.1,494,True,48.65,17.4,1.0479,0.05554,0.0847,0.0638,0.9747,0.0049,0.0516,0.4747,-0.0601,500000
slow,3,0.1,16,True,-7.27,62.5,1.1093,0.02471,0.7028,0.1376,0.3897,0.0034,0.1085,0.3914,-0.1374,500000
slow,4,0.1,26,True,-18.79,0.0,0.0,0.0,0.5861,0.1291,0.6021,0.0,0.0,0.4719,-0.1111,500000
slow,5,0.1,17,True,-18.11,0.0,0.0,0.0,0.7001,0.0924,0.4466,0.0,0.0,0.4521,-0.1525,500000
medium,6,0.25,18,True,-18.84,0.0,0.0,0.0,0.6148,0.0915,0.4238,0.0,0.0,0.3982,-0.1013,500000
medium,7,0.25,17,True,-18.79,0.0,0.0,0.0,0.7911,0.1017,0.4895,0.0,0.0,0.3685,-0.1306,500000
medium,8,0.25,357,True,863.52,98.0,0.4491,0.24597,0.432,0.4604,0.918,1.5832,0.8765,0.2451,-0.582,500000
medium,9,0.25,29,True,-20.04,0.0,0.0,0.0,0.4728,0.1333,0.6222,0.0,0.0,0.44,-0.0972,500000
medium,10,0.25,20,True,-17.97,0.0,0.0,0.0,0.5697,0.1361,0.4866,0.0,0.0,0.4683,-0.1103,500000
fast,11,0.4,481,True,264.74,44.7,0.8726,0.12679,0.2266,0.0531,0.9406,0.1085,0.2519,0.3544,-0.0251,500000
fast,12,0.4,22,True,5.05,95.5,0.8251,0.10198,0.7142,0.088,0.558,0.0821,0.4516,0.2923,-0.1145,500000
fast,13,0.4,16,True,-8.84,62.5,1.0439,0.05674,0.6311,0.0995,0.3076,0.0037,0.176,0.3151,-0.1199,500000
fast,14,0.4,18,True,-13.22,33.3,0.8891,0.06657,0.6779,0.1018,0.4776,0.0712,0.1082,0.3602,-0.1176,500000
fast,15,0.4,59,True,-19.37,22.0,0.9481,0.12335,0.4588,0.1059,0.7561,0.0209,0.1247,0.1906,-0.0682,500000
slow,1,0.1,990,True,-194.36,0.0,0.0,0.0,0.1499,0.1243,0.9824,0.0,0.0,0.4261,-0.1137,750000
slow,2,0.1,47,True,-19.75,0.0,0.0,0.0,0.2875,0.052,0.8026,0.0,0.0,0.4197,-0.0285,750000
slow,3,0.1,16,True,-2.05,81.2,1.0655,0.03027,0.6926,0.124,0.4453,0.0108,0.1545,0.4499,-0.1101,750000
slow,4,0.1,1389,True,1432.51,60.0,0.6905,0.20483,0.1793,0.1584,0.9821,0.2435,0.5066,0.3531,-0.1435,750000
slow,5,0.1,990,True,-148.45,0.0,0.0,0.0,0.1325,0.0838,0.979,0.0,0.0,0.4249,-0.0644,750000
medium,6,0.25,121,True,-21.04,4.1,0.8042,0.05781,0.187,0.0257,0.9104,0.0246,0.0118,0.4252,-0.0131,750000
medium,7,0.25,502,True,1038.87,97.2,0.6718,0.1837,0.2178,0.0745,0.9464,0.7937,0.6554,0.2664,-0.0239,750000
medium,8,0.25,568,True,1149.14,99.3,0.6747,0.22283,0.214,0.1147,0.9603,0.5233,0.8428,0.2816,-0.0545,750000
