episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_offset,init_pos,init_vel,init_ang
40,3712,4.07,52,63.5,0.6158,0.2167,0.492,0.6939,0.4722,0.5386,0.5091,0.323,-0.8152,B,0.304,0.303,0.151,0.051
41,3872,35.05,160,47.5,0.3944,0.2495,0.5078,0.6391,0.5552,0.8618,0.4145,0.1833,-0.7544,B,0.305,0.303,0.152,0.051
42,3969,-10.31,97,73.2,0.8405,0.1483,0.5128,0.7411,0.6709,0.0647,0.507,0.3596,-0.9564,B,0.305,0.303,0.152,0.051
43,4066,-106.71,97,33.0,0.9394,0.1271,0.5298,0.7334,0.4488,0.021,0.1911,0.1993,-0.9489,B,0.305,0.303,0.152,0.051
44,4119,-27.84,53,54.7,0.7262,0.1569,0.4868,0.6525,0.3996,0.1234,0.4012,0.291,-0.7648,B,0.305,0.303,0.152,0.051
45,4163,-10.23,44,52.3,0.5395,0.2143,0.5162,0.674,0.3509,0.6139,0.4397,0.2965,-0.8148,B,0.305,0.303,0.152,0.051
46,4295,-31.08,132,94.7,0.7269,0.1349,0.5114,0.6913,0.3835,0.6342,0.5582,0.1241,-0.8601,B,0.305,0.303,0.152,0.051
47,4347,-36.96,52,42.3,0.9325,0.1446,0.5164,0.6768,0.4849,0.0149,0.2876,0.3215,-0.7878,B,0.305,0.303,0.152,0.051
48,4422,-28.56,75,42.7,0.6398,0.2007,0.4897,0.6439,0.4225,0.3687,0.3193,0.2461,-0.7607,B,0.305,0.304,0.152,0.051
49,4533,-107.37,111,39.6,0.8353,0.1276,0.4962,0.6659,0.377,0.0399,0.22,0.1503,-0.7704,B,0.305,0.304,0.152,0.051
50,4591,-57.98,58,27.6,0.6851,0.1432,0.5046,0.684,0.3758,0.1249,0.18,0.2583,-0.8231,B,0.306,0.304,0.152,0.051
51,4743,-4.35,152,83.6,0.715,0.1573,0.5002,0.6813,0.5835,0.2021,0.5902,0.2062,-0.8222,B,0.306,0.304,0.152,0.051
52,4818,-27.32,75,57.3,0.8486,0.1262,0.4777,0.6096,0.4936,0.0773,0.3459,0.2384,-0.664,B,0.306,0.304,0.152,0.051
53,4907,7.41,89,59.6,0.5963,0.2211,0.5281,0.6668,0.5561,0.5258,0.4895,0.2435,-0.8233,B,0.306,0.304,0.152,0.051
54,4969,1.3,62,51.6,0.5873,0.2153,0.4939,0.6545,0.4569,0.53,0.4214,0.3004,-0.7521,B,0.306,0.304,0.152,0.051
55,5076,136.18,107,83.2,0.4601,0.2372,0.5299,0.6751,0.6924,1.1853,0.7607,0.3161,-0.8493,B,0.306,0.304,0.152,0.051
56,5125,-52.83,49,36.7,0.8933,0.0832,0.5303,0.718,0.4066,0.0151,0.1535,0.3039,-0.8986,B,0.306,0.304,0.152,0.051
57,5185,-41.6,60,46.7,0.8524,0.108,0.4891,0.6672,0.4409,0.0357,0.2382,0.306,-0.7636,B,0.306,0.304,0.152,0.051
58,5244,-64.34,59,30.5,0.8836,0.1328,0.5141,0.6587,0.382,0.0279,0.1921,0.1988,-0.7976,B,0.306,0.304,0.152,0.051
59,5414,-112.79,170,54.7,0.7619,0.1475,0.4937,0.6671,0.3143,0.2673,0.3613,0.1089,-0.7859,B,0.306,0.304,0.152,0.051
60,5473,-45.88,59,37.3,0.7711,0.18,0.4946,0.6202,0.3211,0.0979,0.2814,0.2126,-0.6858,B,0.307,0.304,0.152,0.051
61,5543,-83.59,70,27.1,0.8244,0.1537,0.514,0.7088,0.3392,0.0289,0.1817,0.1931,-0.8672,B,0.307,0.304,0.152,0.051
62,5588,-11.78,45,53.3,0.7077,0.2052,0.5354,0.6253,0.4685,0.2493,0.425,0.3311,-0.6987,B,0.307,0.304,0.152,0.051
63,5747,-142.04,159,32.1,0.8207,0.1399,0.4652,0.6374,0.4622,0.1186,0.2064,0.138,-0.7325,B,0.307,0.305,0.152,0.051
64,5826,10.92,79,62.0,0.6641,0.2061,0.5038,0.6678,0.5674,0.3631,0.4978,0.3354,-0.7717,B,0.307,0.305,0.152,0.051
