episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_speed,target_offset,init_pos,init_vel,init_ang
1,112,-288.47,112,64.3,0.4213,0.2555,0.5092,0.6638,0.5688,1.064,0.5362,0.2224,-0.7859,A,0.053,0.000-0.118,0.2,0.1,0.03
2,242,-476.37,130,66.2,0.708,0.1627,0.5038,0.6742,0.4695,0.3385,0.4212,0.1527,-0.8123,A,0.0894,0.000-0.118,0.2,0.1,0.03
3,300,-189.37,58,56.9,0.5771,0.1928,0.5066,0.6986,0.4736,0.7909,0.3971,0.2683,-0.8321,A,0.0631,0.000-0.118,0.2,0.1,0.03
4,366,-231.58,66,57.6,0.6037,0.162,0.5093,0.6856,0.5774,0.4868,0.393,0.2745,-0.8478,A,0.0681,0.000-0.118,0.2,0.1,0.03
5,455,-307.06,89,40.4,0.5357,0.2181,0.4911,0.6665,0.3617,0.6182,0.3127,0.2268,-0.7854,A,0.0668,0.000-0.118,0.201,0.1,0.03
6,548,-307.2,93,46.2,0.4923,0.2078,0.5032,0.6744,0.5743,0.7056,0.3449,0.2296,-0.8168,A,0.0822,0.000-0.118,0.201,0.1,0.03
7,599,-177.41,51,41.2,0.4775,0.2072,0.5138,0.6538,0.426,0.5939,0.3166,0.2942,-0.7642,A,0.0907,0.000-0.118,0.201,0.1,0.03
8,663,-203.28,64,53.1,0.5632,0.2303,0.4831,0.6707,0.5079,0.5001,0.451,0.2852,-0.7774,A,0.099,0.000-0.118,0.201,0.1,0.03
9,722,-129.98,59,52.5,0.4305,0.2273,0.4855,0.5896,0.4419,0.9665,0.4269,0.2792,-0.6397,A,0.0623,0.000-0.118,0.201,0.1,0.03
10,839,-432.56,117,56.4,0.5196,0.205,0.5226,0.7428,0.6306,0.7648,0.425,0.2551,-0.9618,A,0.0699,0.000-0.118,0.201,0.101,0.03
11,932,-361.03,93,29.0,0.6854,0.19,0.4969,0.6328,0.3528,0.2509,0.2003,0.1716,-0.7401,A,0.0869,0.000-0.118,0.201,0.101,0.03
12,1001,-217.56,69,40.6,0.4217,0.2,0.491,0.6405,0.4651,0.7806,0.3043,0.2379,-0.7643,A,0.0625,0.000-0.118,0.201,0.101,0.03
13,1060,-177.18,59,49.2,0.6205,0.1901,0.4735,0.6317,0.5244,0.3263,0.3796,0.3059,-0.7062,A,0.0604,0.000-0.118,0.201,0.101,0.03
14,1167,-492.05,107,21.5,0.4724,0.2243,0.5093,0.6775,0.2753,0.3389,0.1719,0.1311,-0.8154,A,0.0666,0.000-0.118,0.201,0.101,0.03
15,1267,-254.69,100,94.0,0.6294,0.2104,0.47,0.6543,0.4782,0.778,0.6907,0.2006,-0.7524,A,0.0941,0.000-0.118,0.202,0.101,0.03
16,1393,-517.55,126,23.8,0.4292,0.2173,0.5059,0.6463,0.3076,0.4484,0.1875,0.165,-0.7528,A,0.0527,0.000-0.118,0.202,0.101,0.03
17,1556,-697.65,163,30.1,0.5146,0.2387,0.5011,0.6718,0.3961,0.3766,0.2593,0.1452,-0.8067,A,0.0729,0.000-0.118,0.202,0.101,0.03
18,1622,-246.4,66,39.4,0.6253,0.2222,0.4847,0.6785,0.4061,0.2977,0.3061,0.2333,-0.7795,A,0.0634,0.000-0.118,0.202,0.101,0.03
19,1700,-241.43,78,71.8,0.6962,0.1637,0.4886,0.6768,0.5035,0.6509,0.4261,0.2563,-0.8052,A,0.0698,0.000-0.118,0.202,0.101,0.03
20,1768,-263.21,68,44.1,0.5653,0.2091,0.4972,0.7163,0.4426,0.5982,0.3351,0.2545,-0.8898,A,0.0964,0.000-0.118,0.202,0.101,0.03
21,1838,-198.74,70,51.4,0.5,0.2094,0.4845,0.6409,0.4725,0.6888,0.4027,0.2748,-0.735,A,0.0652,0.000-0.118,0.202,0.101,0.03
22,1923,-329.23,85,35.3,0.3966,0.2075,0.523,0.7051,0.4616,0.7317,0.2642,0.2438,-0.8782,A,0.096,0.000-0.118,0.202,0.101,0.03
23,2023,-278.39,100,74.0,0.5745,0.1635,0.4998,0.6679,0.6187,0.6651,0.4817,0.2733,-0.7914,A,0.0541,0.000-0.118,0.203,0.101,0.031
24,2108,-327.87,85,48.2,0.8091,0.1608,0.4882,0.6639,0.3746,0.3073,0.2791,0.1813,-0.7882,A,0.0698,0.000-0.118,0.203,0.101,0.031
25,2193,-248.69,85,43.5,0.4273,0.2239,0.4993,0.6534,0.4398,0.8632,0.3529,0.2263,-0.739,A,0.0887,0.000-0.118,0.203,0.101,0.031
26,2317,-473.17,124,35.5,0.598,0.182,0.4952,0.6627,0.4784,0.5105,0.2376,0.1454,-0.7864,A,0.0862,0.000-0.118,0.203,0.101,0.031
27,2432,-397.07,115,67.8,0.7141,0.1431,0.5006,0.6691,0.5945,0.2822,0.4241,0.1715,-0.8132,A,0.0864,0.000-0.118,0.203,0.102,0.031
28,2508,-228.11,76,61.8,0.5674,0.2182,0.5125,0.6731,0.5074,0.756,0.4551,0.2716,-0.8074,A,0.0591,0.000-0.118,0.203,0.102,0.031
29,2621,-301.74,113,70.8,0.4498,0.2597,0.5067,0.6867,0.6724,1.0056,0.6189,0.2561,-0.8466,A,0.0742,0.000-0.118,0.203,0.102,0.031
30,2733,-173.09,112,78.6,0.3961,0.2367,0.4909,0.6747,0.7499,1.4912,0.695,0.3663,-0.7882,A,0.0531,0.000-0.118,0.203,0.102,0.031
31,2783,-129.28,50,52.0,0.4179,0.2343,0.4848,0.6364,0.4345,1.0655,0.4438,0.281,-0.7243,A,0.0591,0.000-0.118,0.203,0.102,0.031
32,2881,-323.26,98,92.9,0.65,0.1316,0.522,0.6474,0.4418,0.5857,0.4846,0.1646,-0.7741,A,0.0755,0.000-0.118,0.204,0.102,0.031
33,2996,-268.48,115,64.3,0.5344,0.2343,0.4782,0.6423,0.6203,0.7696,0.5009,0.3133,-0.7189,A,0.0955,0.000-0.118,0.204,0.102,0.031
34,3078,-205.46,82,51.2,0.398,0.2287,0.4999,0.6584,0.5131,1.1491,0.4036,0.3169,-0.7764,A,0.0785,0.000-0.118,0.204,0.102,0.031
35,3149,-253.08,71,46.5,0.636,0.1813,0.4746,0.6786,0.5512,0.2695,0.3541,0.3005,-0.8005,A,0.0813,0.000-0.118,0.204,0.102,0.031
36,3294,-489.66,145,49.7,0.5655,0.1973,0.4996,0.6309,0.4687,0.5922,0.3654,0.1333,-0.7242,A,0.0969,0.000-0.118,0.204,0.102,0.031
37,3368,-268.84,74,45.9,0.6442,0.1862,0.5007,0.6658,0.4977,0.3926,0.3239,0.2756,-0.8075,A,0.0683,0.000-0.118,0.204,0.102,0.031
38,3430,-159.1,62,61.3,0.4165,0.2272,0.5145,0.6915,0.4999,1.2743,0.4575,0.3466,-0.8294,A,0.0862,0.000-0.118,0.204,0.102,0.031
39,3563,-298.86,133,66.9,0.4796,0.2172,0.476,0.6184,0.5457,1.026,0.5872,0.1478,-0.6969,A,0.0623,0.000-0.118,0.204,0.102,0.031
40,3685,-434.61,122,69.7,0.7036,0.1925,0.5112,0.7019,0.5659,0.4636,0.522,0.1598,-0.866,A,0.0795,0.000-0.118,0.205,0.102,0.031
41,3776,-222.94,91,91.2,0.7939,0.131,0.4923,0.6048,0.4424,0.5875,0.4666,0.1898,-0.6803,A,0.0905,0.000-0.118,0.205,0.102,0.031
42,3942,-680.08,166,75.3,0.675,0.1208,0.51,0.6913,0.4835,0.5276,0.4021,0.1497,-0.8552,A,0.0979,0.000-0.118,0.205,0.102,0.031
43,4042,-365.05,100,63.0,0.5715,0.2067,0.5322,0.7352,0.469,0.8462,0.4964,0.2244,-0.9387,A,0.0737,0.000-0.118,0.205,0.103,0.031
44,4132,-305.93,90,67.8,0.6797,0.1598,0.4985,0.6908,0.4937,0.6637,0.41,0.2399,-0.8656,A,0.0725,0.000-0.118,0.205,0.103,0.031
45,4217,-340.04,85,27.1,0.6969,0.1791,0.4913,0.6491,0.4408,0.2287,0.1832,0.1992,-0.7645,A,0.0615,0.000-0.118,0.205,0.103,0.031
46,4305,-405.52,88,26.1,0.4673,0.2041,0.5396,0.7161,0.433,0.4189,0.201,0.1687,-0.913,A,0.0754,0.000-0.118,0.205,0.103,0.031
47,4347,-158.09,42,35.7,0.5247,0.1963,0.5142,0.6783,0.3553,0.4761,0.2701,0.3122,-0.7904,A,0.0643,0.000-0.118,0.205,0.103,0.031
48,4423,-239.61,76,51.3,0.5213,0.2336,0.4931,0.641,0.4287,0.6696,0.3903,0.2493,-0.7536,A,0.057,0.000-0.118,0.206,0.103,0.031
49,4591,-660.01,168,52.4,0.7639,0.1324,0.4976,0.6712,0.4162,0.2107,0.2959,0.1311,-0.7911,A,0.091,0.000-0.118,0.206,0.103,0.031
50,4743,-375.39,152,82.9,0.4801,0.2071,0.5002,0.6813,0.5736,1.3015,0.6681,0.1772,-0.8222,A,0.0987,0.000-0.118,0.206,0.103,0.031
51,4819,-172.02,76,52.6,0.4608,0.2243,0.48,0.6052,0.5044,0.8699,0.3895,0.2638,-0.6567,A,0.079,0.000-0.118,0.206,0.103,0.031
52,4903,-226.48,84,73.8,0.5595,0.2268,0.5269,0.6592,0.546,0.8843,0.5604,0.3029,-0.8125,A,0.0662,0.000-0.118,0.206,0.103,0.031
53,4982,-246.75,79,51.9,0.5521,0.224,0.5011,0.6441,0.4416,0.4793,0.419,0.2782,-0.7455,A,0.0712,0.000-0.118,0.206,0.103,0.031
54,5081,-275.83,99,81.8,0.5906,0.1953,0.5268,0.6858,0.6841,0.7466,0.6335,0.2998,-0.8664,A,0.0551,0.000-0.118,0.206,0.103,0.031
55,5135,-191.73,54,51.9,0.4566,0.2272,0.534,0.7152,0.4689,0.8764,0.4095,0.2996,-0.8983,A,0.0647,0.000-0.118,0.206,0.103,0.031
56,5198,-149.08,63,73.0,0.5821,0.1975,0.4971,0.6692,0.5666,1.1117,0.5177,0.3036,-0.7858,A,0.0797,0.000-0.118,0.206,0.103,0.031
57,5275,-295.87,77,37.7,0.6339,0.182,0.499,0.6886,0.4529,0.3857,0.2734,0.2361,-0.8162,A,0.0681,0.000-0.118,0.207,0.103,0.031
58,5333,-162.28,58,62.1,0.4845,0.2108,0.491,0.6704,0.5183,0.9957,0.4959,0.3158,-0.8084,A,0.0649,0.000-0.118,0.207,0.103,0.031
59,5393,-172.58,60,53.3,0.6382,0.1884,0.5128,0.6175,0.4855,0.4469,0.3956,0.293,-0.6869,A,0.0882,0.000-0.118,0.207,0.103,0.031
60,5490,-291.64,97,52.6,0.5736,0.1952,0.4846,0.64,0.4326,0.7182,0.3568,0.1975,-0.7304,A,0.0739,0.000-0.118,0.207,0.103,0.031
61,5634,-572.7,144,30.6,0.3654,0.2209,0.5087,0.6642,0.3472,0.6285,0.236,0.1419,-0.7765,A,0.0934,0.000-0.118,0.207,0.104,0.031
62,5715,-160.43,81,63.0,0.3885,0.223,0.4536,0.6333,0.6063,1.2961,0.4943,0.3129,-0.7395,A,0.0945,0.000-0.118,0.207,0.104,0.031
63,5826,-374.53,111,59.5,0.7089,0.1718,0.4995,0.6689,0.415,0.5165,0.3909,0.1867,-0.7748,A,0.0588,0.000-0.118,0.207,0.104,0.031
64,5987,-371.37,161,68.9,0.3381,0.1749,0.4994,0.6828,0.7009,1.4707,0.3963,0.273,-0.8271,A,0.0699,0.000-0.118,0.207,0.104,0.031
65,6186,-766.01,199,52.8,0.5739,0.2331,0.4993,0.6774,0.5622,0.5233,0.412,0.1145,-0.8174,A,0.0755,0.000-0.118,0.208,0.104,0.032
