episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_alive_sum,r_track_sum,r_invis_sum,r_jerk_sum,phase,alpha,target_speed,jitter_xy,term_reason
832,109164,414.57,159,100.0,0,0.5038,0.4148,79.5,411.695,0.0,-76.623,C,1.0,0.0523,0.3,
833,109284,422.17,120,100.0,0,0.7227,0.2131,60.0,382.987,0.0,-20.814,C,1.0,0.0531,0.3,
834,109392,397.79,108,100.0,0,0.7256,0.2279,54.0,364.551,0.0,-20.757,C,1.0,0.0559,0.3,
835,109509,474.8,117,100.0,0,0.6721,0.2315,58.5,437.201,0.0,-20.905,C,1.0,0.0589,0.3,
836,109657,310.59,148,100.0,0,0.4609,0.4479,74.0,315.081,0.0,-78.49,C,1.0,0.0568,0.3,
837,109818,342.57,161,100.0,0,0.6195,0.3214,80.5,314.987,0.0,-52.921,C,1.0,0.0573,0.3,
838,109934,465.32,116,100.0,0,0.7473,0.2263,58.0,429.667,0.0,-22.347,C,1.0,0.0571,0.3,
839,110149,833.99,215,100.0,0,0.5992,0.3319,107.5,798.731,0.0,-72.239,C,1.0,0.0561,0.3,
840,110269,443.06,120,100.0,0,0.6885,0.28,60.0,413.766,0.0,-30.707,C,1.0,0.0559,0.3,
841,110446,469.23,177,100.0,0,0.4925,0.4324,88.5,468.847,0.0,-88.113,C,1.0,0.0553,0.3,
842,110576,450.81,130,100.0,0,0.6847,0.2691,65.0,419.922,0.0,-34.116,C,1.0,0.0518,0.3,
843,110702,491.41,126,100.0,0,0.6516,0.292,63.0,463.074,0.0,-34.668,C,1.0,0.0525,0.3,
844,110817,359.19,115,100.0,0,0.7446,0.2313,57.5,323.783,0.0,-22.089,C,1.0,0.0565,0.3,
845,110968,467.78,151,100.0,0,0.5206,0.3699,75.5,449.374,0.0,-57.09,C,1.0,0.0583,0.3,
846,111095,385.11,127,100.0,0,0.5968,0.3181,63.5,358.964,0.0,-37.351,C,1.0,0.055,0.3,
847,111261,456.28,166,100.0,0,0.5086,0.4185,83.0,456.196,0.0,-82.911,C,1.0,0.0594,0.3,
848,111376,470.74,115,100.0,0,0.6783,0.2503,57.5,438.019,0.0,-24.78,C,1.0,0.0592,0.3,
849,111497,378.44,121,100.0,0,0.6574,0.2565,60.5,346.028,0.0,-28.088,C,1.0,0.0567,0.3,
850,111646,524.36,149,100.0,0,0.6541,0.2942,74.5,493.128,0.0,-43.266,C,1.0,0.0509,0.3,
851,111788,522.26,142,100.0,0,0.6531,0.2907,71.0,490.684,0.0,-39.422,C,1.0,0.0585,0.3,
852,111928,548.18,140,100.0,0,0.5925,0.3185,70.0,521.857,0.0,-43.677,C,1.0,0.0534,0.3,
853,112054,429.7,126,100.0,0,0.6834,0.2513,63.0,394.575,0.0,-27.875,C,1.0,0.0526,0.3,
854,112181,512.85,127,100.0,0,0.6247,0.3005,63.5,485.495,0.0,-36.143,C,1.0,0.0525,0.3,
855,112296,468.14,115,100.0,0,0.7239,0.211,57.5,429.558,0.0,-18.923,C,1.0,0.0594,0.3,
856,112414,477.96,118,100.0,0,0.6602,0.2538,59.0,447.031,0.0,-28.069,C,1.0,0.0531,0.3,
857,112554,381.93,140,100.0,0,0.7132,0.2406,70.0,342.306,0.0,-30.373,C,1.0,0.052,0.3,
858,112683,524.28,129,100.0,0,0.704,0.2397,64.5,487.363,0.0,-27.581,C,1.0,0.0566,0.3,
859,112802,417.9,119,100.0,0,0.669,0.2719,59.5,388.943,0.0,-30.546,C,1.0,0.0545,0.3,
860,112948,459.56,146,100.0,0,0.6865,0.2512,73.0,420.387,0.0,-33.831,C,1.0,0.0577,0.3,
861,113079,345.36,131,100.0,0,0.6821,0.2791,65.5,316.487,0.0,-36.632,C,1.0,0.0555,0.3,
862,113229,497.73,150,100.0,0,0.6414,0.303,75.0,466.978,0.0,-44.249,C,1.0,0.0582,0.3,
863,113351,451.35,122,100.0,0,0.6985,0.2639,61.0,421.351,0.0,-31.005,C,1.0,0.0502,0.3,
864,113487,548.29,136,100.0,0,0.6404,0.2929,68.0,521.805,0.0,-41.512,C,1.0,0.0623,0.3,
865,113625,284.98,138,92.0,0,0.6427,0.323,69.0,261.802,-0.55,-45.276,C,1.0,0.0548,0.3,
866,113735,373.97,110,100.0,0,0.7167,0.2406,55.0,344.392,0.0,-25.421,C,1.0,0.0532,0.3,
