episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_track_sum,r_alive_sum,r_jerk_sum,term_reason
1,113,7.66,113,60.2,0,0.5109,0.6646,-3.636,11.3,0.0,
2,249,-22.07,136,55.1,0,0.5021,0.6778,-33.665,13.6,0.0,altitude_low
3,310,-4.2,61,62.3,0,0.502,0.6892,-10.301,6.1,0.0,
4,399,-9.99,89,49.4,0,0.4973,0.6695,-18.891,8.9,0.0,
5,447,-11.05,48,45.8,0,0.522,0.6968,-15.851,4.8,0.0,
6,529,-16.06,82,54.9,0,0.4904,0.6424,-24.256,8.2,0.0,
7,603,-0.17,74,58.1,0,0.5149,0.6841,-7.575,7.4,0.0,
8,677,-25.37,74,41.9,0,0.4728,0.6414,-32.773,7.4,0.0,
9,757,-7.64,80,56.2,0,0.5113,0.6579,-15.635,8.0,0.0,
10,868,-19.18,111,52.3,0,0.5196,0.7183,-30.284,11.1,0.0,
11,1033,-87.28,165,31.5,0,0.4949,0.6186,-101.784,16.5,0.0,altitude_low
12,2096,727.88,1063,96.0,0,0.4302,0.5967,623.577,106.3,0.0,altitude_high
13,2423,279.71,327,98.2,0,0.4643,0.5572,249.006,32.7,0.0,altitude_high
14,2650,158.12,227,93.4,0,0.5119,0.4401,137.416,22.7,0.0,altitude_high
15,2950,240.23,300,95.7,0,0.4597,0.4896,212.233,30.0,0.0,altitude_high
16,3090,100.79,140,100.0,0,0.5082,0.4749,88.794,14.0,0.0,altitude_high
17,3319,102.46,229,100.0,0,0.4457,0.4467,81.562,22.9,0.0,altitude_high
18,3426,47.81,107,89.7,0,0.5765,0.4194,39.113,10.7,0.0,altitude_high
19,3546,24.42,120,79.2,0,0.6031,0.3254,14.422,12.0,0.0,altitude_high
20,3676,112.58,130,100.0,0,0.5507,0.4119,101.583,13.0,0.0,altitude_high
21,3753,22.86,77,79.2,0,0.7507,0.2123,17.165,7.7,0.0,altitude_high
22,3852,60.29,99,100.0,0,0.6039,0.3874,52.39,9.9,0.0,altitude_high
23,4567,536.17,715,100.0,0,0.417,0.4704,466.671,71.5,0.0,altitude_high
24,4681,48.44,114,96.5,0,0.6037,0.3804,39.044,11.4,0.0,altitude_high
25,4922,129.43,241,100.0,0,0.488,0.4489,107.331,24.1,0.0,altitude_high
26,5223,203.31,301,100.0,0,0.4971,0.4894,175.209,30.1,0.0,altitude_high
27,5375,13.07,152,75.0,0,0.4926,0.4659,-2.132,15.2,0.0,
28,5568,71.91,193,91.2,0,0.5158,0.4589,52.607,19.3,0.0,
29,5780,139.07,212,95.8,0,0.5073,0.5484,119.866,21.2,0.0,altitude_high
30,5986,101.17,206,89.3,0,0.4616,0.489,80.571,20.6,0.0,
31,6155,85.06,169,84.0,0,0.5221,0.4522,70.156,16.9,0.0,altitude_high
32,6292,5.03,137,70.1,0,0.6969,0.3963,-8.672,13.7,0.0,
33,6492,146.88,200,96.0,0,0.5244,0.4742,126.879,20.0,0.0,
34,6665,59.93,173,82.7,0,0.5355,0.461,42.633,17.3,0.0,
35,6779,-19.02,114,61.4,0,0.5417,0.4645,-30.418,11.4,0.0,
36,6990,84.53,211,100.0,0,0.5074,0.4713,65.428,21.1,0.0,altitude_high
37,7153,-24.22,163,62.6,0,0.488,0.4628,-38.519,16.3,0.0,altitude_low
38,7490,94.22,337,88.4,0,0.5158,0.502,60.524,33.7,0.0,
39,7761,134.71,271,96.3,0,0.4833,0.493,109.605,27.1,0.0,altitude_high
40,8023,3.26,262,58.8,0,0.4915,0.4854,-20.941,26.2,0.0,altitude_low
41,8316,83.55,293,98.3,0,0.4804,0.5362,56.253,29.3,0.0,altitude_low
42,8504,60.72,188,72.9,0,0.5381,0.4532,41.922,18.8,0.0,
43,8605,45.49,101,100.0,0,0.598,0.3641,37.393,10.1,0.0,altitude_high
44,8735,48.93,130,86.9,0,0.5394,0.41,37.929,13.0,0.0,altitude_high
45,8859,19.39,124,91.1,0,0.5861,0.3785,8.994,12.4,0.0,altitude_high
46,9087,-17.28,228,56.1,0,0.5477,0.451,-38.079,22.8,0.0,altitude_low
47,9229,98.37,142,100.0,0,0.442,0.5659,86.169,14.2,0.0,altitude_high
48,9487,9.84,258,60.5,0,0.5472,0.4086,-15.958,25.8,0.0,
49,9718,-66.68,231,46.8,0,0.4865,0.4896,-87.784,23.1,0.0,altitude_low
50,10201,64.0,483,77.4,0,0.4851,0.4849,17.703,48.3,0.0,altitude_low
51,10378,132.5,177,100.0,0,0.4489,0.4749,116.8,17.7,0.0,altitude_high
52,10660,163.79,282,100.0,0,0.536,0.4647,135.59,28.2,0.0,
53,10914,-48.12,254,64.2,0,0.526,0.3716,-73.522,25.4,0.0,
54,11020,51.86,106,100.0,0,0.5174,0.4097,43.26,10.6,0.0,altitude_high
55,11277,134.62,257,100.0,0,0.4435,0.5254,110.917,25.7,0.0,altitude_high
56,11569,16.1,292,64.0,0,0.5145,0.4488,-13.099,29.2,0.0,
57,11893,17.5,324,70.1,0,0.492,0.4793,-14.904,32.4,0.0,
58,12147,0.85,254,59.4,0,0.494,0.4781,-24.549,25.4,0.0,
59,12363,143.32,216,100.0,0,0.4316,0.4623,123.722,21.6,0.0,altitude_low
60,12541,30.58,178,71.9,0,0.5302,0.4122,12.777,17.8,0.0,
61,12825,28.89,284,63.4,0,0.4162,0.5019,0.487,28.4,0.0,lost_target
62,12976,102.51,151,100.0,0,0.5048,0.4328,89.415,15.1,0.0,altitude_high
63,13204,1.32,228,56.1,0,0.4277,0.4671,-21.476,22.8,0.0,lost_target
