tier,episode,target_speed,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
slow,1,0.1,23,True,-18.09,0.0,0.0,0.0,0.6491,0.0941,0.6538,0.0,0.0,0.4483,-0.127,500000
slow,2,0.1,18,True,-17.07,0.0,0.0,0.0,0.7117,0.0933,0.5532,0.0,0.0,0.4804,-0.15,500000
slow,3,0.1,17,True,-10.03,35.3,1.2809,0.00879,0.6551,0.1226,0.4964,0.0001,0.0469,0.4608,-0.1091,500000
slow,4,0.1,24,True,-18.87,0.0,0.0,0.0,0.6794,0.0791,0.6383,0.0,0.0,0.4171,-0.1059,500000
slow,5,0.1,16,True,-17.19,0.0,0.0,0.0,0.689,0.0976,0.4945,0.0,0.0,0.4532,-0.1495,500000
medium,6,0.25,15,True,-14.74,20.0,1.1833,0.01335,0.7268,0.1135,0.4406,0.0005,0.0288,0.4172,-0.1556,500000
medium,7,0.25,290,True,605.71,96.2,0.6719,0.1819,0.3047,0.1665,0.9347,0.8058,0.6577,0.429,-0.1734,500000
medium,8,0.25,168,True,395.18,99.4,0.6357,0.20812,0.2374,0.0914,0.923,0.8475,0.7989,0.4121,-0.0397,500000
medium,9,0.25,35,True,-20.74,0.0,0.0,0.0,0.5003,0.0862,0.7267,0.0,0.0,0.4062,-0.0765,500000
medium,10,0.25,19,True,-16.93,0.0,0.0,0.0,0.6904,0.1028,0.5559,0.0,0.0,0.4674,-0.1101,500000
fast,11,0.4,15,True,-16.67,0.0,0.0,0.0,0.7261,0.1043,0.4558,0.0,0.0,0.4697,-0.1424,500000
fast,12,0.4,14,True,-1.02,100.0,0.8313,0.11265,0.7307,0.1043,0.4142,0.128,0.5321,0.2355,-0.1352,500000
fast,13,0.4,13,True,-2.51,100.0,0.947,0.07279,0.8172,0.0855,0.3941,0.0244,0.3437,0.3698,-0.156,500000
fast,14,0.4,14,True,-14.51,28.6,1.0525,0.05151,0.7596,0.1039,0.4254,0.0043,0.074,0.3364,-0.1629,500000
fast,15,0.4,21,True,-10.27,47.6,0.9222,0.13213,0.7699,0.1501,0.4464,0.0428,0.2836,0.2118,-0.1759,500000
slow,1,0.1,25,True,-17.66,0.0,0.0,0.0,0.5571,0.1085,0.6303,0.0,0.0,0.4726,-0.0942,750000
slow,2,0.1,30,True,-18.74,0.0,0.0,0.0,0.4605,0.1071,0.6708,0.0,0.0,0.4556,-0.0822,750000
slow,3,0.1,17,True,0.88,94.1,1.1317,0.0069,0.7911,0.1062,0.5242,0.0051,0.121,0.4635,-0.1263,750000
slow,4,0.1,23,True,-17.55,0.0,0.0,0.0,0.5334,0.1271,0.6079,0.0,0.0,0.4688,-0.101,750000
slow,5,0.1,20,True,-18.37,0.0,0.0,0.0,0.628,0.1228,0.5323,0.0,0.0,0.4302,-0.115,750000
medium,6,0.25,15,True,-15.83,13.3,1.109,0.0127,0.7426,0.1044,0.4222,0.0005,0.0189,0.4141,-0.1479,750000
medium,7,0.25,138,True,260.77,86.2,0.6399,0.17836,0.3503,0.0881,0.9058,0.8748,0.5969,0.3579,-0.0549,750000
medium,8,0.25,203,True,428.92,100.0,0.6706,0.22009,0.2627,0.1267,0.9306,0.5515,0.8895,0.3574,-0.0573,750000
medium,9,0.25,23,True,-18.25,0.0,0.0,0.0,0.5629,0.1317,0.5922,0.0,0.0,0.4504,-0.105,750000
medium,10,0.25,18,True,-17.57,0.0,0.0,0.0,0.6477,0.1285,0.4952,0.0,0.0,0.4689,-0.137,750000
fast,11,0.4,27,True,-16.86,0.0,0.0,0.0,0.4519,0.0798,0.6584,0.0,0.0,0.4587,-0.0421,750000
fast,12,0.4,13,True,-0.84,100.0,0.7299,0.15587,0.8553,0.0764,0.4114,0.2357,0.727,0.2478,-0.1408,750000
fast,13,0.4,20,True,7.4,100.0,0.8043,0.13247,0.7049,0.0526,0.5735,0.3959,0.6136,0.3262,-0.0852,750000
fast,14,0.4,16,True,-13.48,31.2,1.0333,0.04883,0.7377,0.083,0.4516,0.007,0.0782,0.3543,-0.1163,750000
fast,15,0.4,14,True,-2.47,85.7,0.7648,0.13338,0.8519,0.1008,0.3774,0.1385,0.515,0.2079,-0.1081,750000
slow,1,0.1,25,True,-17.53,0.0,0.0,0.0,0.5536,0.105,0.6365,0.0,0.0,0.4732,-0.0928,750001
slow,2,0.1,30,True,-18.68,0.0,0.0,0.0,0.46,0.1074,0.6744,0.0,0.0,0.4558,-0.0824,750001
slow,3,0.1,17,True,1.86,100.0,1.1405,0.00689,0.7923,0.1055,0.5212,0.0053,0.1286,0.4635,-0.1259,750001
slow,4,0.1,23,True,-17.48,0.0,0.0,0.0,0.5331,0.1237,0.6119,0.0,0.0,0.469,-0.1001,750001
slow,5,0.1,20,True,-18.3,0.0,0.0,0.0,0.6275,0.121,0.5372,0.0,0.0,0.4312,-0.115,750001
medium,6,0.25,15,True,-15.83,13.3,1.109,0.0127,0.7436,0.1044,0.4224,0.0005,0.0189,0.4142,-0.1478,750001
medium,7,0.25,135,True,250.32,86.7,0.6504,0.17571,0.3498,0.0886,0.9094,0.8484,0.5874,0.353,-0.0562,750001
medium,8,0.25,198,True,429.09,100.0,0.6654,0.22104,0.2417,0.0838,0.9321,0.5674,0.8902,0.362,-0.0271,750001
medium,9,0.25,23,True,-18.21,0.0,0.0,0.0,0.5626,0.1321,0.5958,0.0,0.0,0.4507,-0.1054,750001
medium,10,0.25,18,True,-17.55,0.0,0.0,0.0,0.6472,0.1292,0.4972,0.0,0.0,0.4693,-0.1374,750001
fast,11,0.4,27,True,-16.84,0.0,0.0,0.0,0.4514,0.0793,0.6596,0.0,0.0,0.4587,-0.0417,750001
fast,12,0.4,13,True,-0.84,100.0,0.7288,0.15617,0.8561,0.0762,0.4107,0.2378,0.7284,0.2478,-0.1412,750001
fast,13,0.4,20,True,7.33,100.0,0.8023,0.13232,0.7069,0.0525,0.5686,0.3977,0.6137,0.3262,-0.0851,750001
fast,14,0.4,16,True,-13.48,31.2,1.0326,0.04805,0.7388,0.0824,0.4512,0.007,0.0774,0.3545,-0.116,750001
fast,15,0.4,14,True,-2.46,85.7,0.7639,0.13395,0.8527,0.1,0.3768,0.1395,0.5171,0.2079,-0.1074,750001
