episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_track_sum,r_alive_sum,r_jerk_sum,term_reason
76,12312,138.96,163,100.0,0,0.4655,0.5033,122.657,16.3,0.0,
77,12471,132.75,159,99.4,0,0.4113,0.4499,116.846,15.9,0.0,
78,12614,92.52,143,100.0,0,0.4913,0.326,78.216,14.3,0.0,
79,12765,109.43,151,98.7,0,0.4567,0.4292,104.326,15.1,0.0,altitude_low
80,12903,23.4,138,79.0,0,0.5427,0.3303,19.597,13.8,0.0,altitude_high
81,13053,126.16,150,100.0,0,0.4399,0.5271,111.162,15.0,0.0,
82,13269,140.04,216,92.6,0,0.3694,0.4122,118.441,21.6,0.0,
83,13466,77.58,197,84.8,0,0.3943,0.3953,57.881,19.7,0.0,
84,13630,84.0,164,93.3,0,0.481,0.3115,67.6,16.4,0.0,
85,13785,138.15,155,100.0,0,0.4727,0.3543,122.647,15.5,0.0,
86,13930,113.02,145,100.0,0,0.4543,0.3967,98.524,14.5,0.0,
87,14088,102.15,158,100.0,0,0.5585,0.4352,96.347,15.8,0.0,altitude_high
88,14241,99.17,153,89.5,0,0.4736,0.4042,83.874,15.3,0.0,
89,14446,48.44,205,73.2,0,0.6126,0.3184,27.94,20.5,0.0,
90,14703,122.86,257,96.5,0,0.3678,0.3228,97.163,25.7,0.0,
91,14886,110.17,183,88.0,0,0.4813,0.312,91.873,18.3,0.0,
92,15012,16.49,126,73.8,0,0.4385,0.3883,3.888,12.6,0.0,
93,15191,93.17,179,85.5,0,0.4651,0.3114,75.272,17.9,0.0,
94,15325,104.77,134,100.0,0,0.5046,0.4112,101.37,13.4,0.0,altitude_high
95,15481,102.24,156,100.0,0,0.5295,0.4126,96.642,15.6,0.0,altitude_high
96,15656,131.55,175,100.0,0,0.4565,0.443,124.048,17.5,0.0,altitude_high
97,15814,94.05,158,88.0,0,0.4711,0.3573,78.25,15.8,0.0,
98,15975,144.94,161,100.0,0,0.4436,0.4411,128.843,16.1,0.0,
99,16119,44.48,144,100.0,0,0.5421,0.4716,40.085,14.4,0.0,altitude_low
100,16295,117.13,176,100.0,0,0.5742,0.4677,109.527,17.6,0.0,altitude_low
101,16516,177.33,221,94.1,0,0.4877,0.4451,155.23,22.1,0.0,
102,16692,88.09,176,100.0,0,0.4898,0.4693,70.493,17.6,0.0,
103,16853,117.41,161,98.8,0,0.4026,0.4409,101.307,16.1,0.0,
104,17016,49.46,163,100.0,0,0.5324,0.4325,43.163,16.3,0.0,altitude_low
105,17191,115.89,175,93.7,0,0.3969,0.398,98.393,17.5,0.0,
106,17365,77.36,174,79.9,0,0.3903,0.3805,59.956,17.4,0.0,
107,17546,181.97,181,100.0,0,0.4058,0.4254,163.867,18.1,0.0,
108,17721,151.13,175,100.0,0,0.4572,0.4216,133.631,17.5,0.0,
109,17918,153.0,197,99.5,0,0.3811,0.3669,133.303,19.7,0.0,
110,18074,80.54,156,97.4,0,0.4276,0.4332,74.935,15.6,0.0,altitude_high
111,18346,117.93,272,81.6,0,0.3968,0.3701,90.732,27.2,0.0,
112,18516,111.81,170,91.8,0,0.5122,0.4272,94.815,17.0,0.0,
113,18704,131.11,188,97.3,0,0.4622,0.3274,112.309,18.8,0.0,
114,18869,125.81,165,100.0,0,0.466,0.4102,109.315,16.5,0.0,
115,19057,157.93,188,98.9,0,0.466,0.4237,139.134,18.8,0.0,
116,19163,-14.42,106,56.6,0,0.5304,0.4212,-25.019,10.6,0.0,
117,19325,74.22,162,79.6,0,0.4903,0.3158,58.018,16.2,0.0,
118,19431,-9.19,106,67.0,0,0.5484,0.3429,-9.792,10.6,0.0,altitude_high
119,19599,99.97,168,90.5,0,0.4826,0.3877,83.173,16.8,0.0,
120,19765,91.86,166,100.0,0,0.423,0.4533,75.256,16.6,0.0,
121,19959,146.82,194,99.5,0,0.3827,0.3289,127.418,19.4,0.0,
122,20179,187.29,220,100.0,0,0.4408,0.3943,165.291,22.0,0.0,
123,20353,107.91,174,95.4,0,0.5256,0.3794,90.51,17.4,0.0,
124,20525,83.87,172,100.0,0,0.5513,0.2677,76.668,17.2,0.0,altitude_high
125,20737,126.86,212,95.3,0,0.4677,0.4177,105.657,21.2,0.0,
126,20890,85.68,153,100.0,0,0.4466,0.5067,70.379,15.3,0.0,
127,21066,121.76,176,92.0,0,0.5318,0.401,104.159,17.6,0.0,
128,21237,100.4,171,100.0,0,0.4379,0.4442,93.3,17.1,0.0,altitude_low
129,21417,135.19,180,100.0,0,0.4748,0.4522,117.187,18.0,0.0,
130,21548,66.68,131,100.0,0,0.4004,0.3853,63.584,13.1,0.0,altitude_high
131,21740,75.65,192,75.0,0,0.4406,0.3477,66.447,19.2,0.0,altitude_low
132,21921,156.69,181,100.0,0,0.4128,0.4212,138.589,18.1,0.0,
133,22098,124.11,177,100.0,0,0.4077,0.4401,116.412,17.7,0.0,altitude_low
134,22240,46.43,142,100.0,0,0.428,0.4785,42.227,14.2,0.0,altitude_low
135,22434,108.44,194,91.2,0,0.5665,0.3164,89.036,19.4,0.0,
136,22649,141.04,215,100.0,0,0.5524,0.3452,119.539,21.5,0.0,
137,22768,58.08,119,100.0,0,0.5758,0.345,56.185,11.9,0.0,altitude_high
138,22968,101.92,200,91.0,0,0.3633,0.3634,91.92,20.0,0.0,altitude_low
139,23068,41.48,100,100.0,0,0.5465,0.3047,41.479,10.0,0.0,altitude_high
140,23189,58.54,121,100.0,0,0.5831,0.3016,56.436,12.1,0.0,altitude_high
141,23386,152.69,197,98.0,0,0.4819,0.4203,132.993,19.7,0.0,
142,23541,100.86,155,95.5,0,0.4655,0.4786,85.359,15.5,0.0,
143,23807,48.19,266,68.4,0,0.4074,0.4046,21.592,26.6,0.0,
144,24005,129.11,198,92.4,0,0.472,0.497,109.309,19.8,0.0,
145,24154,107.28,149,95.3,0,0.4874,0.4438,92.385,14.9,0.0,
146,24369,201.23,215,100.0,0,0.3971,0.3736,179.726,21.5,0.0,
147,24546,105.43,177,82.5,0,0.4277,0.2856,87.73,17.7,0.0,
148,24710,120.34,164,100.0,0,0.372,0.3857,103.939,16.4,0.0,
149,24917,158.35,207,100.0,0,0.4771,0.422,137.653,20.7,0.0,
150,25067,65.75,150,91.3,0,0.498,0.5261,50.746,15.0,0.0,
151,25241,90.22,174,95.4,0,0.4248,0.3575,82.822,17.4,0.0,altitude_high
152,25414,137.11,173,97.1,0,0.4842,0.4752,119.806,17.3,0.0,
153,25594,160.44,180,97.8,0,0.3877,0.4059,142.445,18.0,0.0,
154,25766,113.52,172,96.5,0,0.4498,0.4273,96.32,17.2,0.0,
155,25958,154.06,192,97.9,0,0.5276,0.4659,134.865,19.2,0.0,
156,26136,122.29,178,95.5,0,0.4926,0.3381,104.495,17.8,0.0,
157,26305,128.6,169,92.9,0,0.5157,0.4783,111.7,16.9,0.0,
158,26470,134.16,165,97.6,0,0.4203,0.4783,117.657,16.5,0.0,
159,26623,86.74,153,93.5,0,0.4702,0.4683,81.437,15.3,0.0,altitude_low
160,26775,129.8,152,100.0,0,0.4227,0.4107,114.604,15.2,0.0,
161,26968,139.8,193,100.0,0,0.5024,0.3779,120.504,19.3,0.0,
162,27205,1.31,237,56.5,0,0.6081,0.2272,-22.392,23.7,0.0,
163,27359,98.48,154,99.4,0,0.424,0.3596,83.079,15.4,0.0,
164,27569,62.4,210,83.3,0,0.3999,0.3007,41.402,21.0,0.0,
165,27757,81.6,188,83.0,0,0.3982,0.3593,72.803,18.8,0.0,altitude_low
166,27939,150.73,182,100.0,0,0.4272,0.2894,132.53,18.2,0.0,
167,28104,94.07,165,98.2,0,0.3999,0.3886,77.572,16.5,0.0,
168,28286,114.17,182,95.1,0,0.4893,0.3162,95.974,18.2,0.0,
169,28398,16.43,112,72.3,0,0.4272,0.2877,5.232,11.2,0.0,
170,28631,175.64,233,95.3,0,0.4067,0.4529,152.341,23.3,0.0,
171,28816,115.34,185,97.8,0,0.4347,0.385,96.844,18.5,0.0,
172,29019,87.15,203,95.1,0,0.441,0.3869,76.85,20.3,0.0,altitude_high
173,29233,136.46,214,99.1,0,0.4675,0.425,115.064,21.4,0.0,
174,29412,110.12,179,92.2,0,0.4103,0.4615,92.218,17.9,0.0,
175,29666,172.31,254,100.0,0,0.4057,0.3064,146.909,25.4,0.0,
176,29821,107.87,155,100.0,0,0.5542,0.3697,102.375,15.5,0.0,altitude_high
177,29968,119.79,147,97.3,0,0.3969,0.416,105.094,14.7,0.0,
178,30161,145.58,193,96.4,0,0.4427,0.4095,126.28,19.3,0.0,
179,30366,141.04,205,100.0,0,0.4385,0.3535,120.536,20.5,0.0,
180,30561,175.76,195,100.0,0,0.4154,0.2851,156.255,19.5,0.0,
181,30739,119.01,178,100.0,0,0.3702,0.4427,111.212,17.8,0.0,altitude_low
